rezervasyon_no,sezon,iade_kosulu,kac_gun_once,gece_sayisi,oda_fiyati,onceki_iptal_sayisi,iptal_edildi
9054,İlkbahar,İade Edilebilir,88,3,2410.0,0,Evet
9055,İlkbahar,İade Edilemez,27,3,3490.0,2,Hayır
9056,Kış,İade Edilemez,14,1,840.0,1,Hayır
9057,Sonbahar,İade Edilemez,51,5,2670.0,0,Hayır
9058,İlkbahar,İade Edilemez,50,5,1960.0,1,Evet
9059,Sonbahar,İade Edilemez,4,4,3130.0,5,Hayır
9060,Yaz,İade Edilebilir,51,3,3750.0,0,Hayır
9061,Yaz,İade Edilebilir,108,2,4520.0,5,Evet
9062,Yaz,İade Edilebilir,31,1,3350.0,0,Hayır
9063,Yaz,İade Edilebilir,42,2,2810.0,0,Hayır
9064,Kış,İade Edilebilir,1,1,1020.0,5,Hayır
9065,Yaz,İade Edilebilir,0,2,3380.0,5,Hayır
9066,İlkbahar,İade Edilebilir,2,1,1680.0,0,Hayır
9067,İlkbahar,İade Edilebilir,9,12,3240.0,2,Hayır
9068,Kış,İade Edilemez,1,2,2740.0,1,Hayır
9069,Sonbahar,İade Edilebilir,36,1,2390.0,0,Hayır
9070,İlkbahar,İade Edilebilir,54,9,1680.0,2,Evet
9071,Yaz,İade Edilebilir,10,1,3720.0,1,Hayır
9072,İlkbahar,İade Edilebilir,1,6,1920.0,0,Hayır
9073,Sonbahar,İade Edilemez,115,7,3220.0,1,Hayır
9074,Yaz,İade Edilebilir,118,3,4020.0,2,Evet
9075,Kış,İade Edilebilir,2,1,2140.0,1,Hayır
9076,Sonbahar,İade Edilebilir,34,2,1920.0,1,Hayır
9077,Sonbahar,İade Edilebilir,2,3,800.0,2,Hayır
9078,Sonbahar,İade Edilemez,18,5,1660.0,0,Hayır
9079,Yaz,İade Edilebilir,172,4,3020.0,0,Evet
9080,Kış,İade Edilebilir,20,4,2060.0,0,Hayır
9081,İlkbahar,İade Edilebilir,16,2,2470.0,1,Hayır
9082,Sonbahar,İade Edilebilir,1,6,1640.0,0,Hayır
9083,Yaz,İade Edilebilir,14,1,3530.0,2,Hayır
9084,İlkbahar,İade Edilemez,1,2,3500.0,5,Evet
9085,Sonbahar,İade Edilebilir,2,3,1530.0,0,Hayır
9086,Yaz,İade Edilemez,18,5,3160.0,0,Hayır
9087,Yaz,İade Edilebilir,3,4,3640.0,0,Hayır
9088,İlkbahar,İade Edilemez,7,4,1910.0,1,Hayır
9089,İlkbahar,İade Edilebilir,76,2,2100.0,3,Evet
9090,İlkbahar,İade Edilebilir,32,6,2770.0,1,Hayır
9091,Kış,İade Edilebilir,25,1,3010.0,0,Hayır
9092,Sonbahar,İade Edilemez,6,2,950.0,1,Hayır
9093,Yaz,İade Edilebilir,28,1,3790.0,0,Hayır
9094,Yaz,İade Edilebilir,80,1,3830.0,1,Evet
9095,İlkbahar,İade Edilebilir,21,4,2340.0,0,Hayır
9096,Yaz,İade Edilebilir,141,5,3670.0,1,Evet
9097,Kış,İade Edilebilir,4,1,1560.0,1,Hayır
9098,İlkbahar,İade Edilebilir,8,3,3100.0,1,Hayır
9099,Kış,İade Edilemez,14,10,1470.0,1,Hayır
9100,Kış,İade Edilemez,55,4,1710.0,1,Hayır
9101,Sonbahar,İade Edilebilir,28,8,2200.0,2,Evet
9102,Yaz,İade Edilebilir,0,6,3880.0,0,Hayır
9103,Yaz,İade Edilebilir,86,6,3680.0,2,Evet
9104,Yaz,İade Edilebilir,7,2,4500.0,1,Hayır
9105,Sonbahar,İade Edilebilir,6,4,2190.0,1,Hayır
9106,İlkbahar,İade Edilemez,86,12,2520.0,0,Hayır
9107,Yaz,İade Edilebilir,48,1,3760.0,0,Hayır
9108,Yaz,İade Edilemez,120,7,3100.0,4,Hayır
9109,İlkbahar,İade Edilebilir,4,2,1820.0,2,Hayır
9110,Yaz,İade Edilebilir,33,3,3060.0,5,Evet
9111,Yaz,İade Edilebilir,2,5,3930.0,1,Hayır
9112,Sonbahar,İade Edilebilir,22,2,1700.0,3,Evet
9113,Kış,İade Edilemez,27,2,1060.0,3,Hayır
9114,Sonbahar,İade Edilemez,11,1,2370.0,1,Hayır
9115,Kış,İade Edilemez,73,3,2170.0,3,Hayır
9116,Yaz,İade Edilebilir,19,1,2570.0,2,Hayır
9117,Sonbahar,İade Edilebilir,20,4,3380.0,0,Hayır
9118,Kış,İade Edilemez,26,3,1820.0,0,Hayır
9119,İlkbahar,İade Edilemez,1,6,2330.0,0,Hayır
9120,Sonbahar,İade Edilebilir,9,2,2950.0,1,Hayır
9121,Kış,İade Edilemez,13,6,1850.0,1,Hayır
9122,Yaz,İade Edilebilir,55,6,3380.0,1,Hayır
9123,Sonbahar,İade Edilemez,103,7,3740.0,3,Hayır
9124,Yaz,İade Edilebilir,186,5,3050.0,2,Hayır
9125,Yaz,İade Edilemez,64,4,3730.0,0,Hayır
9126,İlkbahar,İade Edilemez,9,4,2990.0,0,Hayır
9127,İlkbahar,İade Edilebilir,20,2,1650.0,3,Evet
9128,İlkbahar,İade Edilebilir,13,3,2330.0,2,Hayır
9129,Kış,İade Edilebilir,13,3,2070.0,0,Hayır
9130,İlkbahar,İade Edilebilir,0,11,4080.0,1,Hayır
9131,Sonbahar,İade Edilebilir,7,1,1580.0,0,Hayır
9132,Yaz,İade Edilebilir,112,2,3770.0,1,Evet
9133,İlkbahar,İade Edilebilir,69,4,2860.0,5,Evet
9134,İlkbahar,İade Edilebilir,2,1,2460.0,0,Hayır
9135,Sonbahar,İade Edilebilir,34,5,1360.0,2,Evet
9136,Yaz,İade Edilemez,18,2,4090.0,1,Hayır
9137,Sonbahar,İade Edilebilir,51,4,2280.0,5,Evet
9138,Yaz,İade Edilemez,144,3,4110.0,3,Hayır
9139,Yaz,İade Edilebilir,93,4,4590.0,0,Evet
9140,Sonbahar,İade Edilebilir,12,1,2910.0,1,Hayır
9141,Yaz,İade Edilemez,4,4,4090.0,3,Hayır
9142,Yaz,İade Edilebilir,61,8,4020.0,0,Evet
9143,Yaz,İade Edilebilir,113,5,3030.0,2,Evet
9144,Sonbahar,İade Edilebilir,16,3,2110.0,0,Evet
9145,İlkbahar,İade Edilemez,88,3,2550.0,0,Hayır
9146,Sonbahar,İade Edilebilir,79,3,1920.0,0,Evet
9147,Kış,İade Edilebilir,8,2,1870.0,0,Hayır
9148,Yaz,İade Edilebilir,196,1,3220.0,4,Evet
9149,Yaz,İade Edilebilir,1,3,4870.0,0,Hayır
9150,Sonbahar,İade Edilemez,39,3,3710.0,0,Hayır
9151,İlkbahar,İade Edilebilir,17,10,2130.0,1,Hayır
9152,Sonbahar,İade Edilebilir,5,4,2480.0,1,Hayır
9153,Yaz,İade Edilemez,76,12,3640.0,4,Hayır
9154,Yaz,İade Edilebilir,159,3,4680.0,1,Evet
9155,Yaz,İade Edilebilir,11,4,4100.0,3,Hayır
9156,Sonbahar,İade Edilebilir,29,3,2250.0,0,Hayır
9157,İlkbahar,İade Edilebilir,42,1,2240.0,1,Hayır
9158,İlkbahar,İade Edilebilir,0,1,2490.0,0,Evet
9159,İlkbahar,İade Edilebilir,15,2,1700.0,3,Hayır
9160,Kış,İade Edilebilir,4,6,2270.0,1,Hayır
9161,İlkbahar,İade Edilemez,97,1,1900.0,0,Hayır
9162,Sonbahar,İade Edilebilir,24,1,2570.0,3,Evet
9163,Sonbahar,İade Edilemez,4,3,2290.0,1,Hayır
9164,Kış,İade Edilebilir,11,2,2570.0,1,Hayır
9165,Yaz,İade Edilebilir,214,2,3790.0,0,Evet
9166,Yaz,İade Edilebilir,43,8,4520.0,3,Evet
9167,Yaz,İade Edilebilir,63,3,3150.0,1,Evet
9168,Yaz,İade Edilebilir,198,4,4230.0,3,Evet
9169,İlkbahar,İade Edilemez,36,3,2240.0,0,Hayır
9170,Sonbahar,İade Edilemez,28,5,2340.0,1,Hayır
9171,Yaz,İade Edilebilir,76,3,3850.0,0,Evet
9172,Yaz,İade Edilemez,53,2,4460.0,1,Hayır
9173,Yaz,İade Edilebilir,183,5,2390.0,1,Evet
9174,İlkbahar,İade Edilebilir,26,3,2630.0,2,Evet
9175,Kış,İade Edilebilir,62,7,800.0,4,Evet
9176,İlkbahar,İade Edilemez,47,2,3240.0,0,Hayır
9177,Yaz,İade Edilebilir,38,8,2420.0,3,Evet
9178,Sonbahar,İade Edilemez,84,1,1500.0,0,Hayır
9179,Yaz,İade Edilebilir,4,2,2630.0,0,Hayır
9180,Kış,İade Edilemez,39,3,2950.0,0,Hayır
9181,Sonbahar,İade Edilebilir,38,1,1300.0,0,Hayır
9182,Sonbahar,İade Edilebilir,21,2,2280.0,2,Hayır
9183,Sonbahar,İade Edilemez,1,5,1820.0,1,Hayır
9184,Yaz,İade Edilebilir,73,2,2540.0,0,Evet
9185,Sonbahar,İade Edilebilir,38,1,1960.0,2,Evet
9186,Kış,İade Edilemez,17,5,2260.0,4,Hayır
9187,Kış,İade Edilebilir,7,3,1670.0,1,Hayır
9188,Kış,İade Edilebilir,18,4,2460.0,1,Hayır
9189,İlkbahar,İade Edilebilir,41,7,,3,Evet
9190,İlkbahar,İade Edilebilir,55,3,2400.0,0,Hayır
9191,İlkbahar,İade Edilebilir,81,4,2130.0,5,Evet
9192,Yaz,İade Edilebilir,35,14,4040.0,0,Hayır
9193,Kış,İade Edilemez,55,1,3130.0,0,Hayır
9194,Yaz,İade Edilemez,21,3,4050.0,2,Hayır
9195,Kış,İade Edilemez,52,1,1940.0,0,Hayır
9196,Yaz,İade Edilebilir,43,4,3370.0,0,Hayır
9197,Kış,İade Edilebilir,15,1,1270.0,1,Hayır
9198,İlkbahar,İade Edilemez,46,2,3420.0,0,Hayır
9199,Sonbahar,İade Edilemez,3,1,1420.0,0,Evet
9200,Yaz,İade Edilemez,139,5,3160.0,0,Hayır
9201,Sonbahar,İade Edilebilir,21,3,2130.0,0,Hayır
9202,Yaz,İade Edilebilir,18,2,3500.0,1,Hayır
9203,Yaz,İade Edilemez,69,1,5170.0,0,Evet
9204,İlkbahar,İade Edilebilir,96,6,800.0,0,Hayır
9205,Yaz,İade Edilebilir,134,1,4050.0,2,Evet
9206,Kış,İade Edilemez,3,6,2300.0,0,Evet
9207,Sonbahar,İade Edilebilir,3,4,1420.0,0,Hayır
9208,Sonbahar,İade Edilemez,40,2,1750.0,3,Hayır
9209,Sonbahar,İade Edilebilir,14,3,2500.0,0,Evet
9210,Kış,İade Edilebilir,23,1,2940.0,0,Hayır
9211,İlkbahar,İade Edilebilir,72,7,1760.0,0,Evet
9212,İlkbahar,İade Edilemez,11,1,1290.0,0,Hayır
9213,Kış,İade Edilebilir,31,2,2480.0,0,Hayır
9214,Yaz,İade Edilemez,20,5,4870.0,0,Hayır
9215,Sonbahar,İade Edilebilir,6,2,1970.0,0,Hayır
9216,İlkbahar,İade Edilemez,34,3,850.0,0,Hayır
9217,Sonbahar,İade Edilebilir,77,3,3220.0,1,Evet
9218,Sonbahar,İade Edilebilir,34,2,2060.0,0,Hayır
9219,Kış,İade Edilebilir,43,2,2590.0,0,Hayır
9220,Yaz,İade Edilemez,56,9,3770.0,0,Hayır
9221,Sonbahar,İade Edilebilir,8,5,,0,Hayır
9221,Sonbahar,İade Edilebilir,8,5,,0,Hayır
9222,İlkbahar,İade Edilemez,18,4,2080.0,0,Hayır
9223,Yaz,İade Edilebilir,300,3,4830.0,1,Evet
9224,Yaz,İade Edilemez,16,1,4800.0,3,Hayır
9225,Yaz,İade Edilemez,66,1,2300.0,2,Hayır
9226,Kış,İade Edilebilir,13,4,1140.0,1,Hayır
9227,Yaz,İade Edilebilir,102,2,5040.0,2,Evet
9228,Yaz,İade Edilemez,41,2,3540.0,2,Hayır
9229,Sonbahar,İade Edilemez,8,1,1250.0,1,Hayır
9230,Sonbahar,İade Edilemez,56,1,2200.0,2,Hayır
9231,İlkbahar,İade Edilebilir,4,3,2320.0,0,Hayır
9232,Yaz,İade Edilebilir,102,1,3730.0,2,Evet
9233,Sonbahar,İade Edilebilir,132,10,1860.0,1,Hayır
9234,Sonbahar,İade Edilebilir,0,8,1980.0,2,Hayır
9235,Kış,İade Edilebilir,11,2,1480.0,2,Hayır
9236,Kış,İade Edilebilir,5,6,2030.0,0,Hayır
9237,Yaz,İade Edilebilir,10,1,3230.0,2,Hayır
9238,İlkbahar,İade Edilebilir,81,6,2200.0,0,Evet
9239,Yaz,İade Edilebilir,68,10,3700.0,0,Evet
9240,Sonbahar,İade Edilebilir,17,4,3110.0,1,Evet
9241,İlkbahar,İade Edilemez,2,11,2660.0,2,Hayır
9242,İlkbahar,İade Edilebilir,51,1,2320.0,0,Hayır
9243,Yaz,İade Edilemez,172,3,4180.0,1,Hayır
9244,Yaz,İade Edilemez,37,2,4080.0,0,Hayır
9245,Kış,İade Edilemez,12,5,2560.0,0,Hayır
9246,İlkbahar,İade Edilemez,29,3,2750.0,0,Hayır
9247,Kış,İade Edilebilir,13,4,3060.0,1,Hayır
9248,Yaz,İade Edilebilir,55,3,4740.0,0,Hayır
9249,Sonbahar,İade Edilebilir,59,1,2170.0,3,Evet
9250,İlkbahar,İade Edilebilir,30,1,2110.0,0,Hayır
9251,İlkbahar,İade Edilebilir,22,6,3020.0,0,Hayır
9252,Yaz,İade Edilemez,31,2,4160.0,0,Hayır
9253,İlkbahar,İade Edilemez,6,4,2330.0,0,Hayır
9254,İlkbahar,İade Edilemez,47,4,1370.0,4,Hayır
9255,İlkbahar,İade Edilebilir,51,2,1120.0,4,Evet
9256,Yaz,İade Edilemez,11,1,4040.0,3,Evet
9257,Kış,İade Edilemez,14,3,2340.0,0,Evet
9258,Yaz,İade Edilebilir,103,7,4360.0,2,Evet
9259,Yaz,İade Edilebilir,42,1,2900.0,0,Hayır
9260,İlkbahar,İade Edilebilir,18,13,3130.0,0,Hayır
9261,Kış,İade Edilebilir,26,3,1430.0,1,Hayır
9262,Yaz,İade Edilemez,124,4,4070.0,0,Hayır
9263,Kış,İade Edilebilir,22,7,2090.0,0,Hayır
9264,Kış,İade Edilebilir,45,8,1240.0,4,Evet
9265,Kış,İade Edilebilir,22,4,1390.0,0,Hayır
9266,Kış,İade Edilemez,52,5,800.0,2,Hayır
9267,Sonbahar,İade Edilebilir,27,2,1560.0,0,Hayır
9268,İlkbahar,İade Edilemez,51,3,1140.0,0,Hayır
9269,İlkbahar,İade Edilebilir,25,1,2710.0,1,Hayır
9270,Sonbahar,İade Edilemez,18,5,2240.0,0,Hayır
9271,Yaz,İade Edilemez,26,4,4440.0,0,Hayır
9272,İlkbahar,İade Edilemez,44,4,2650.0,0,Hayır
9273,Yaz,İade Edilemez,25,5,3360.0,0,Hayır
9274,Sonbahar,İade Edilebilir,2,1,2440.0,0,Hayır
9275,İlkbahar,İade Edilebilir,90,2,2130.0,0,Evet
9276,Yaz,İade Edilebilir,7,1,4230.0,4,Hayır
9277,Kış,İade Edilebilir,32,2,2020.0,2,Evet
9278,Yaz,İade Edilebilir,11,4,3110.0,2,Hayır
9279,Yaz,İade Edilemez,30,8,3800.0,0,Hayır
9280,Sonbahar,İade Edilebilir,1,2,,2,Hayır
9281,Yaz,İade Edilebilir,51,2,3580.0,1,Hayır
9282,İlkbahar,İade Edilemez,43,2,3030.0,1,Hayır
9283,Kış,İade Edilemez,11,3,3000.0,0,Hayır
9284,Yaz,İade Edilemez,176,2,3540.0,0,Hayır
9285,Yaz,İade Edilebilir,81,3,3550.0,0,Evet
9286,İlkbahar,İade Edilebilir,18,5,830.0,0,Hayır
9287,İlkbahar,İade Edilemez,55,1,2310.0,3,Hayır
9288,Yaz,İade Edilebilir,1,1,3490.0,1,Hayır
9289,Yaz,İade Edilemez,62,2,2290.0,1,Hayır
9290,Sonbahar,İade Edilebilir,17,2,2400.0,3,Hayır
9291,Kış,İade Edilebilir,3,8,2210.0,1,Hayır
9292,İlkbahar,İade Edilebilir,24,2,1890.0,0,Hayır
9293,Sonbahar,İade Edilemez,16,6,1940.0,0,Hayır
9294,Yaz,İade Edilebilir,44,1,3120.0,4,Evet
9295,Yaz,İade Edilebilir,7,14,4330.0,0,Hayır
9296,Sonbahar,İade Edilebilir,132,6,1140.0,0,Evet
9297,Sonbahar,İade Edilebilir,1,1,1980.0,1,Hayır
9298,Sonbahar,İade Edilebilir,11,2,3570.0,3,Hayır
9299,Yaz,İade Edilebilir,244,10,3840.0,2,Evet
9300,İlkbahar,İade Edilebilir,13,4,2730.0,2,Hayır
9301,Yaz,İade Edilebilir,10,2,3700.0,2,Hayır
9302,İlkbahar,İade Edilebilir,68,6,1580.0,0,Evet
9303,Yaz,İade Edilebilir,54,4,3780.0,0,Hayır
9304,Yaz,İade Edilebilir,175,1,4080.0,1,Evet
9305,Yaz,İade Edilebilir,90,12,3080.0,0,Evet
9306,Yaz,İade Edilemez,100,6,4040.0,2,Hayır
9307,İlkbahar,İade Edilemez,6,3,,0,Hayır
9308,İlkbahar,İade Edilebilir,84,2,3150.0,0,Evet
9309,Kış,İade Edilebilir,51,1,800.0,5,Evet
9310,Sonbahar,İade Edilebilir,88,1,1520.0,0,Evet
9311,Yaz,İade Edilebilir,64,3,2670.0,1,Evet
9312,İlkbahar,İade Edilebilir,8,2,3150.0,0,Hayır
9313,Yaz,İade Edilebilir,206,1,4230.0,5,Evet
9314,Yaz,İade Edilebilir,73,1,4290.0,0,Evet
9315,İlkbahar,İade Edilebilir,127,11,1790.0,1,Evet
9316,Sonbahar,İade Edilemez,1,2,1380.0,3,Hayır
9317,Sonbahar,İade Edilebilir,94,6,2250.0,0,Evet
9318,İlkbahar,İade Edilemez,14,8,2470.0,0,Hayır
9319,Kış,İade Edilemez,6,3,1200.0,0,Hayır
9320,Yaz,İade Edilebilir,49,5,3900.0,0,Hayır
9321,Sonbahar,İade Edilemez,17,1,2650.0,2,Hayır
9322,Kış,İade Edilemez,25,2,,1,Hayır
9323,Yaz,İade Edilebilir,300,3,3070.0,3,Evet
9324,Sonbahar,İade Edilebilir,1,1,,1,Hayır
9325,Sonbahar,İade Edilebilir,13,1,2020.0,1,Hayır
9326,Kış,İade Edilebilir,79,10,1920.0,0,Evet
9327,Kış,İade Edilebilir,21,7,1620.0,0,Hayır
9328,Sonbahar,İade Edilebilir,53,3,1900.0,5,Evet
9329,Kış,İade Edilemez,12,1,1320.0,4,Hayır
9330,Kış,İade Edilebilir,25,3,2300.0,0,Hayır
9331,Yaz,İade Edilebilir,14,1,3760.0,2,Hayır
9332,Yaz,İade Edilemez,105,2,3890.0,2,Hayır
9333,Yaz,İade Edilebilir,171,3,3120.0,0,Evet
9334,İlkbahar,İade Edilebilir,92,3,1970.0,0,Evet
9335,Sonbahar,İade Edilemez,1,2,2310.0,2,Hayır
9336,İlkbahar,İade Edilebilir,73,5,1700.0,4,Evet
9337,Yaz,İade Edilebilir,89,7,2920.0,5,Evet
9338,Kış,İade Edilebilir,32,2,1570.0,0,Hayır
9339,Yaz,İade Edilemez,47,3,4640.0,0,Hayır
9340,Kış,İade Edilebilir,99,2,1930.0,0,Evet
9341,İlkbahar,İade Edilebilir,36,3,3420.0,0,Hayır
9342,İlkbahar,İade Edilebilir,113,7,2310.0,5,Evet
9343,Yaz,İade Edilebilir,38,2,3580.0,0,Hayır
9344,Yaz,İade Edilemez,80,2,2830.0,3,Hayır
9345,Kış,İade Edilemez,33,3,1400.0,0,Hayır
9346,Sonbahar,İade Edilemez,28,2,3200.0,4,Hayır
9347,Sonbahar,İade Edilebilir,185,3,2430.0,1,Evet
9348,Sonbahar,İade Edilebilir,64,3,2710.0,2,Evet
9349,İlkbahar,İade Edilebilir,48,1,2890.0,1,Hayır
9350,İlkbahar,İade Edilebilir,12,6,2390.0,2,Hayır
9351,İlkbahar,İade Edilebilir,44,2,2260.0,0,Hayır
9352,Kış,İade Edilebilir,78,3,1880.0,0,Hayır
9353,Kış,İade Edilebilir,9,2,2270.0,0,Hayır
9354,Yaz,İade Edilebilir,76,7,4120.0,3,Evet
9355,Kış,İade Edilemez,6,6,2140.0,3,Hayır
9356,Kış,İade Edilebilir,41,3,1910.0,2,Evet
9357,Sonbahar,İade Edilemez,0,4,1660.0,1,Hayır
9358,Yaz,İade Edilebilir,6,4,3620.0,0,Hayır
9359,İlkbahar,İade Edilebilir,56,2,1740.0,4,Evet
9360,Yaz,İade Edilemez,36,2,4500.0,1,Hayır
9361,İlkbahar,İade Edilebilir,69,8,930.0,1,Evet
9362,Yaz,İade Edilebilir,24,4,3650.0,3,Evet
9363,İlkbahar,İade Edilebilir,37,12,4070.0,0,Hayır
9364,Yaz,İade Edilebilir,70,4,3560.0,1,Evet
9365,Yaz,İade Edilebilir,22,1,3010.0,1,Hayır
9366,Yaz,İade Edilebilir,27,4,3790.0,2,Evet
9367,İlkbahar,İade Edilebilir,37,2,3300.0,0,Hayır
9368,Sonbahar,İade Edilebilir,30,1,2090.0,2,Evet
9369,Sonbahar,İade Edilebilir,32,1,2630.0,3,Evet
9370,Kış,İade Edilebilir,7,7,1870.0,1,Hayır
9371,Kış,İade Edilemez,41,6,1540.0,0,Hayır
9372,Kış,İade Edilebilir,3,1,4010.0,3,Hayır
9373,Sonbahar,İade Edilebilir,23,2,2250.0,0,Hayır
9374,Sonbahar,İade Edilebilir,42,3,1820.0,0,Hayır
9375,İlkbahar,İade Edilebilir,87,5,2060.0,3,Evet
9376,Sonbahar,İade Edilemez,8,4,2470.0,1,Hayır
9377,İlkbahar,İade Edilemez,40,8,2690.0,0,Hayır
9378,Yaz,İade Edilebilir,159,2,4340.0,2,Evet
9379,Yaz,İade Edilemez,112,9,3900.0,1,Hayır
9380,Sonbahar,İade Edilebilir,8,5,1200.0,0,Hayır
9381,Kış,İade Edilemez,14,3,2170.0,0,Hayır
9382,İlkbahar,İade Edilebilir,6,3,2180.0,2,Hayır
9383,Yaz,İade Edilebilir,70,4,3600.0,2,Evet
9384,Kış,İade Edilebilir,3,5,800.0,0,Hayır
9385,İlkbahar,İade Edilebilir,76,2,,1,Evet
9386,Yaz,İade Edilebilir,14,2,3290.0,2,Hayır
9387,Sonbahar,İade Edilemez,7,2,2170.0,0,Hayır
9388,Yaz,İade Edilemez,163,2,2780.0,0,Hayır
9389,Sonbahar,İade Edilebilir,79,6,2240.0,0,Evet
9390,Yaz,İade Edilemez,25,5,3890.0,4,Hayır
9391,Yaz,İade Edilebilir,0,1,3020.0,2,Hayır
9392,Sonbahar,İade Edilemez,18,2,1760.0,0,Hayır
9393,Yaz,İade Edilemez,3,1,3200.0,3,Hayır
9394,Yaz,İade Edilebilir,66,2,4440.0,1,Evet
9395,İlkbahar,İade Edilebilir,8,2,800.0,0,Hayır
9396,Kış,İade Edilebilir,79,2,1560.0,0,Evet
9397,Yaz,İade Edilebilir,62,5,2640.0,0,Hayır
9398,Kış,İade Edilebilir,10,2,1500.0,0,Hayır
9399,Sonbahar,İade Edilebilir,10,3,2790.0,0,Hayır
9400,Yaz,İade Edilemez,160,2,3360.0,0,Hayır
9401,İlkbahar,İade Edilebilir,8,5,2500.0,3,Hayır
9402,Sonbahar,İade Edilebilir,12,4,1610.0,2,Hayır
9403,Kış,İade Edilebilir,4,2,3160.0,1,Hayır
9404,Yaz,İade Edilebilir,254,4,4440.0,4,Evet
9405,Kış,İade Edilemez,10,3,2590.0,1,Hayır
9406,Sonbahar,İade Edilebilir,11,8,1270.0,4,Hayır
9407,Yaz,İade Edilemez,99,2,3030.0,2,Hayır
9408,Sonbahar,İade Edilebilir,7,3,2960.0,1,Hayır
9409,İlkbahar,İade Edilebilir,47,3,,1,Evet
9410,Sonbahar,İade Edilemez,8,3,2020.0,2,Hayır
9411,Yaz,İade Edilebilir,1,10,4030.0,2,Hayır
9412,Yaz,İade Edilemez,279,4,2920.0,3,Hayır
9413,Sonbahar,İade Edilebilir,47,6,2740.0,0,Hayır
9414,Yaz,İade Edilebilir,83,6,3810.0,0,Evet
9415,İlkbahar,İade Edilemez,17,4,2740.0,0,Hayır
9416,Yaz,İade Edilemez,4,4,3330.0,4,Hayır
9417,Sonbahar,İade Edilemez,3,2,2560.0,3,Hayır
9418,İlkbahar,İade Edilebilir,23,2,1910.0,0,Evet
