kayit_no,uretim_hatti,vardiya,calisma_saati,son_bakim_gun,sicaklik_c,titresim,parti_no,ariza_cikti
5048,A,Gündüz,3800,25,67,4.7,35,Evet
5049,B,Gece,5160,88,74,1.4,72,Evet
5050,A,Gündüz,2790,147,60,0.5,1,Hayır
5051,A,Gündüz,200,33,59,5.5,20,Hayır
5052,A,Gece,200,236,72,1.1,12,Evet
5053,C,Gece,3850,196,57,1.9,39,Hayır
5054,B,Gündüz,200,182,67,4.6,55,Evet
5055,B,Gece,620,153,57,1.3,17,Hayır
5056,C,Gündüz,17960,117,74,5.3,34,Hayır
5057,B,Gece,5800,73,62,1.6,77,Hayır
5058,B,Gündüz,11810,121,64,1.5,93,Hayır
5059,A,Gece,7850,211,63,1.1,1,Hayır
5060,A,Gündüz,9520,63,67,1.7,62,Hayır
5061,B,Gündüz,1950,20,65,4.2,2,Evet
5062,B,Gece,8360,346,71,1.9,52,Hayır
5063,B,Gündüz,9280,286,71,5.6,87,Evet
5064,C,Gündüz,9410,49,69,2.9,79,Evet
5065,B,Gündüz,8520,55,60,3.1,23,Hayır
5066,B,Gece,8550,173,71,1.4,25,Evet
5067,B,Gece,3530,65,66,6.1,78,Evet
5068,A,Gece,950,67,73,4.7,81,Evet
5069,A,Gündüz,670,87,59,4.6,28,Hayır
5070,B,Gündüz,6390,30,61,2.5,0,Hayır
5071,A,Gündüz,7470,92,69,0.9,44,Hayır
5072,B,Gece,2430,27,64,3.2,61,Hayır
5073,C,Gece,12120,49,65,4.1,44,Evet
5074,A,Gece,8570,38,63,4.1,93,Evet
5075,A,Gece,8780,9,67,,81,Hayır
5076,A,Gündüz,12980,231,68,3.6,78,Hayır
5077,A,Gece,11750,44,65,1.6,2,Hayır
5078,B,Gündüz,1490,41,60,1.7,85,Hayır
5079,B,Gündüz,13580,400,81,1.1,75,Evet
5080,C,Gündüz,9610,100,64,5.6,39,Evet
5081,B,Gündüz,10700,6,56,9.1,58,Hayır
5082,B,Gündüz,6310,63,54,9.5,82,Hayır
5083,C,Gündüz,10150,46,60,3.4,90,Hayır
5084,A,Gündüz,200,72,53,3.6,55,Hayır
5085,A,Gece,5230,23,61,2.6,4,Hayır
5086,A,Gündüz,200,21,53,3.3,61,Hayır
5087,B,Gündüz,10350,11,62,1.3,68,Hayır
5088,B,Gece,12830,142,66,2.5,5,Hayır
5089,A,Gece,2410,3,58,1.5,81,Hayır
5090,B,Gündüz,7360,170,74,2.3,20,Evet
5091,A,Gündüz,2740,19,64,1.6,89,Hayır
5092,B,Gece,3170,160,64,4.1,55,Evet
5093,B,Gündüz,9490,142,65,4.4,32,Hayır
5094,A,Gündüz,5830,122,63,3.6,5,Hayır
5095,A,Gece,13830,4,69,1.7,1,Hayır
5096,B,Gündüz,3830,48,65,1.0,74,Hayır
5097,A,Gece,10500,118,63,4.5,37,Evet
5098,A,Gece,6440,2,63,2.9,84,Hayır
5099,A,Gece,9580,42,55,0.5,23,Hayır
5100,C,Gündüz,9990,57,67,3.2,92,Hayır
5101,C,Gündüz,11780,231,75,3.7,94,Evet
5102,B,Gündüz,5480,29,61,0.7,10,Evet
5103,A,Gündüz,2240,24,69,4.1,64,Evet
5104,C,Gece,14980,376,72,0.8,93,Evet
5105,C,Gündüz,14930,50,71,1.6,32,Evet
5106,B,Gece,8670,51,65,0.8,6,Hayır
5107,B,Gece,12920,159,70,1.4,87,Hayır
5108,A,Gece,12520,135,69,1.0,47,Hayır
5109,A,Gündüz,4310,64,63,5.6,2,Evet
5110,C,Gündüz,13680,106,74,2.4,84,Evet
5111,B,Gece,3190,45,68,2.0,67,Hayır
5112,A,Gece,6110,131,65,5.9,7,Evet
5113,A,Gece,3300,17,65,5.7,25,Evet
5114,B,Gece,13290,17,64,2.2,1,Hayır
5115,A,Gece,7640,48,68,3.5,95,Hayır
5116,C,Gündüz,11020,2,62,1.8,2,Hayır
5117,C,Gece,17370,29,76,2.7,79,Evet
5118,B,Gündüz,200,82,71,1.2,51,Evet
5119,B,Gece,200,47,59,3.9,58,Hayır
5120,B,Gece,9580,16,54,6.1,81,Hayır
5121,B,Gündüz,6270,400,68,5.4,89,Evet
5122,B,Gündüz,7130,216,74,3.0,12,Evet
5123,A,Gündüz,200,33,62,0.5,1,Hayır
5124,B,Gece,5900,202,68,1.8,12,Hayır
5125,A,Gündüz,15020,283,80,2.7,68,Evet
5126,B,Gündüz,9710,153,71,0.9,56,Evet
5127,A,Gündüz,6760,6,69,0.8,8,Hayır
5128,A,Gündüz,4020,92,67,7.2,23,Evet
5129,A,Gündüz,4220,81,70,5.0,53,Evet
5130,B,Gündüz,200,84,62,4.1,73,Evet
5131,A,Gündüz,7160,13,68,4.6,34,Evet
5132,C,Gündüz,15800,138,71,1.0,94,Evet
5133,B,Gündüz,200,235,60,1.4,99,Hayır
5134,A,Gündüz,3020,10,69,3.4,76,Hayır
5135,B,Gündüz,790,35,60,3.5,45,Hayır
5136,A,Gece,1660,1,63,0.8,87,Hayır
5137,C,Gündüz,12240,191,71,3.2,72,Evet
5138,B,Gündüz,200,400,64,2.7,51,Hayır
5139,C,Gündüz,14760,2,68,5.3,44,Evet
5140,A,Gündüz,9390,252,77,3.6,83,Evet
5141,B,Gündüz,4870,65,66,7.7,55,Evet
5142,B,Gündüz,200,318,57,2.2,18,Hayır
5143,C,Gece,7520,400,71,1.1,99,Evet
5144,B,Gündüz,11550,178,79,7.6,6,Evet
5145,B,Gündüz,200,15,57,,69,Hayır
5146,A,Gündüz,4440,88,54,2.7,65,Hayır
5147,A,Gündüz,690,21,68,1.4,58,Hayır
5148,B,Gündüz,9620,400,77,2.2,5,Evet
5149,B,Gece,2960,71,61,2.1,49,Hayır
5150,A,Gece,7820,28,62,1.1,89,Hayır
5151,C,Gündüz,14540,39,74,0.3,23,Evet
5152,C,Gündüz,20000,371,77,2.1,69,Evet
5153,A,Gündüz,5090,13,68,4.7,85,Evet
5154,B,Gündüz,7690,144,69,6.4,95,Evet
5155,A,Gece,200,243,65,5.4,51,Evet
5156,B,Gündüz,11360,57,68,5.6,31,Evet
5157,A,Gündüz,2580,120,62,1.2,69,Hayır
5158,B,Gece,3480,89,68,3.4,48,Evet
5159,B,Gündüz,5900,67,59,4.1,62,Hayır
5160,C,Gündüz,4970,56,55,4.3,74,Hayır
5161,A,Gece,7030,8,66,2.7,71,Hayır
5162,C,Gündüz,16350,37,73,3.1,24,Evet
5163,A,Gündüz,7320,21,66,5.3,75,Evet
5164,A,Gündüz,200,67,62,4.0,54,Hayır
5165,B,Gece,5440,154,64,4.5,93,Evet
5166,A,Gündüz,9340,30,69,2.0,65,Evet
5167,C,Gündüz,3550,36,61,4.3,89,Evet
5168,C,Gündüz,7160,43,62,3.1,97,Hayır
5169,A,Gündüz,9940,172,67,5.0,99,Evet
5170,C,Gece,13220,219,82,1.6,74,Evet
5171,A,Gündüz,7850,16,55,4.7,59,Hayır
5172,B,Gece,14370,257,76,2.2,11,Evet
5173,A,Gece,8110,169,59,4.7,38,Hayır
5174,C,Gece,14960,11,68,3.4,47,Hayır
5175,A,Gündüz,18200,122,71,2.9,78,Evet
5176,A,Gece,5040,99,53,2.3,58,Hayır
5177,B,Gece,2410,82,63,2.7,43,Hayır
5178,C,Gündüz,13930,9,66,2.1,14,Hayır
5179,C,Gece,13980,115,60,2.3,71,Evet
5180,B,Gece,3630,86,67,3.9,43,Hayır
5181,C,Gündüz,7350,35,71,0.6,3,Evet
5181,C,Gündüz,7350,35,71,0.6,3,Evet
5182,C,Gece,20000,65,81,4.7,28,Evet
5183,B,Gündüz,7470,162,69,4.7,87,Evet
5184,A,Gece,2700,5,60,2.4,11,Hayır
5185,C,Gece,16120,60,77,3.2,40,Evet
5186,B,Gündüz,5510,202,75,1.3,51,Evet
5187,A,Gece,4860,62,68,3.8,8,Hayır
5188,A,Gündüz,8530,215,64,1.5,16,Hayır
5189,B,Gece,200,20,60,0.3,94,Hayır
5190,A,Gece,7590,162,69,6.3,59,Evet
5191,C,Gündüz,20000,305,70,1.2,21,Hayır
5192,A,Gündüz,8100,17,66,2.7,16,Hayır
5193,A,Gündüz,4310,194,77,3.3,42,Hayır
5194,C,Gündüz,9720,33,69,3.9,72,Hayır
5195,A,Gündüz,4150,13,69,2.9,73,Evet
5196,A,Gündüz,4860,11,63,3.5,19,Hayır
5197,B,Gündüz,4300,57,62,2.3,72,Hayır
5198,C,Gündüz,16120,2,71,,89,Evet
5199,A,Gece,200,31,55,2.8,22,Hayır
5200,A,Gece,9880,57,61,4.3,2,Evet
5201,C,Gece,10290,64,73,1.3,95,Evet
5202,C,Gündüz,13700,25,75,3.3,52,Evet
5203,B,Gece,930,42,55,,77,Hayır
5204,A,Gece,11980,22,72,2.7,32,Evet
5205,A,Gündüz,11610,31,66,2.8,29,Hayır
5206,A,Gündüz,10320,132,70,0.7,22,Hayır
5207,A,Gece,200,59,62,1.1,21,Hayır
5208,B,Gündüz,9730,150,73,1.5,47,Evet
5209,A,Gündüz,7820,30,65,4.2,10,Evet
5210,B,Gece,200,3,65,1.3,84,Hayır
5211,B,Gündüz,5890,85,66,0.5,51,Hayır
5212,B,Gündüz,7640,138,70,3.7,91,Evet
5213,A,Gece,8500,11,60,1.6,50,Hayır
5214,C,Gece,12800,124,80,0.7,30,Evet
5215,B,Gündüz,7310,13,66,4.5,51,Evet
5216,B,Gece,12630,39,71,2.1,15,Evet
5217,A,Gece,11520,90,60,3.9,82,Hayır
5218,A,Gündüz,200,11,54,0.7,72,Hayır
5219,C,Gece,10570,107,74,0.3,14,Evet
5220,A,Gündüz,5260,84,65,3.1,58,Hayır
5221,A,Gündüz,200,118,51,1.1,53,Hayır
5222,B,Gece,6420,9,68,3.0,20,Hayır
5223,B,Gündüz,11620,32,64,3.1,12,Evet
5224,C,Gece,7110,181,74,2.8,76,Evet
5225,A,Gece,7510,3,63,5.6,26,Evet
5226,C,Gündüz,7880,192,69,9.5,51,Evet
5227,A,Gece,2980,144,69,,24,Hayır
5228,B,Gündüz,12650,11,63,8.7,65,Evet
5229,B,Gece,3560,18,56,2.2,4,Hayır
5230,A,Gündüz,8080,165,66,0.9,35,Hayır
5231,A,Gece,200,73,64,1.7,54,Hayır
5232,B,Gece,14380,60,63,2.3,43,Hayır
5233,C,Gündüz,14710,34,61,9.1,61,Evet
5234,B,Gece,5180,63,67,2.9,18,Hayır
5235,C,Gece,14590,49,66,5.7,44,Evet
5236,C,Gece,5660,58,61,2.0,75,Evet
5237,B,Gece,11320,195,61,1.8,33,Hayır
5238,C,Gece,10540,4,62,0.6,15,Hayır
5239,A,Gündüz,5080,241,67,9.0,84,Evet
5240,A,Gündüz,3790,37,66,7.0,77,Evet
5241,C,Gündüz,9390,37,62,3.3,68,Hayır
5242,C,Gece,15130,124,80,2.4,79,Evet
5243,A,Gündüz,7150,216,64,3.0,77,Hayır
5244,B,Gündüz,8930,90,63,0.9,74,Hayır
5245,B,Gündüz,5960,30,71,3.9,50,Evet
5246,C,Gece,14310,12,69,6.6,1,Evet
5247,B,Gündüz,4120,59,59,6.8,59,Hayır
5248,B,Gece,16030,8,69,0.7,27,Hayır
5249,A,Gündüz,200,210,70,5.7,77,Evet
5250,B,Gece,11670,38,74,0.9,46,Evet
5251,B,Gündüz,12160,142,66,0.3,90,Hayır
5252,C,Gündüz,8170,180,67,5.8,59,Evet
5253,B,Gece,16030,94,72,1.9,55,Evet
5254,A,Gece,10480,146,64,5.3,91,Evet
5255,A,Gündüz,10370,92,67,5.0,47,Evet
5256,B,Gündüz,6130,47,63,4.6,37,Evet
5257,C,Gece,11020,139,74,3.0,37,Evet
5258,A,Gece,5060,128,70,1.0,87,Evet
5259,A,Gündüz,7760,17,62,2.3,75,Hayır
5260,B,Gündüz,12310,156,69,6.9,16,Evet
5261,A,Gece,6820,49,67,5.4,49,Evet
5262,C,Gece,7900,295,67,,37,Hayır
5263,A,Gece,9710,203,72,2.3,64,Evet
5264,A,Gece,10150,79,66,4.3,5,Evet
5265,C,Gündüz,14950,103,66,3.1,71,Hayır
5266,A,Gece,9350,16,60,2.4,74,Hayır
5267,A,Gece,4780,74,70,4.1,22,Evet
5268,A,Gece,1820,64,60,4.0,15,Hayır
5269,A,Gündüz,2090,51,69,1.7,62,Hayır
5270,A,Gündüz,200,68,57,3.6,25,Hayır
5271,A,Gece,7070,400,73,3.8,94,Evet
5272,A,Gündüz,5620,17,74,2.8,77,Evet
5273,A,Gece,4020,10,56,1.6,95,Hayır
5274,B,Gündüz,200,66,50,2.2,53,Hayır
5275,B,Gece,390,44,66,1.3,93,Hayır
5276,A,Gece,11040,114,64,3.7,1,Hayır
5277,A,Gündüz,3010,31,61,0.7,28,Hayır
5278,B,Gündüz,7620,213,65,7.4,0,Evet
5279,C,Gece,5740,181,67,6.4,67,Hayır
5280,C,Gece,18470,23,67,3.9,51,Hayır
5281,A,Gündüz,5350,15,61,5.2,28,Evet
5282,A,Gece,7310,125,68,5.0,30,Evet
5283,A,Gece,16470,4,65,3.2,64,Hayır
5284,A,Gündüz,12820,34,64,2.5,18,Hayır
5285,B,Gündüz,4620,221,64,2.3,51,Hayır
5286,B,Gündüz,3330,15,54,7.5,61,Hayır
5287,A,Gündüz,4540,95,61,1.5,23,Hayır
5288,A,Gündüz,8290,69,66,1.5,22,Hayır
5289,B,Gündüz,5530,366,68,5.5,35,Evet
5290,A,Gece,4220,50,61,5.2,59,Evet
5291,C,Gündüz,18600,187,75,2.4,25,Evet
5292,A,Gece,5490,260,64,4.2,37,Evet
5293,C,Gündüz,20000,18,76,4.5,54,Evet
5294,A,Gündüz,6410,71,71,0.9,18,Evet
5295,C,Gece,20000,82,71,6.7,56,Evet
5296,C,Gece,13610,71,72,4.5,13,Evet
5297,C,Gündüz,16330,192,72,3.9,14,Evet
5298,C,Gündüz,8740,6,66,4.6,23,Evet
5299,C,Gündüz,8160,30,72,3.6,28,Evet
5300,B,Gündüz,8070,23,67,2.7,2,Hayır
5301,C,Gündüz,16450,10,61,3.2,96,Hayır
5302,A,Gündüz,6180,29,65,0.9,30,Hayır
5303,B,Gündüz,210,42,65,9.5,80,Evet
5304,B,Gündüz,200,43,58,2.7,90,Hayır
5305,C,Gece,5580,3,67,9.4,80,Evet
5306,B,Gece,200,80,56,3.2,83,Hayır
5307,A,Gündüz,6490,19,56,1.8,10,Hayır
5308,B,Gündüz,11060,58,68,6.6,37,Evet
5309,A,Gündüz,5940,72,55,3.8,74,Hayır
5310,A,Gündüz,200,99,59,9.5,57,Hayır
5311,B,Gece,5140,52,69,1.8,0,Hayır
5311,B,Gece,5140,52,69,1.8,0,Hayır
5312,B,Gece,5270,9,52,6.7,56,Hayır
5313,A,Gece,15430,1,62,7.0,80,Evet
5314,A,Gece,200,55,54,4.8,82,Hayır
5315,A,Gece,4240,174,64,7.0,38,Evet
5316,A,Gece,13680,385,74,2.7,23,Evet
5317,A,Gündüz,8020,144,74,1.5,30,Evet
5318,B,Gündüz,8530,49,70,2.0,29,Hayır
5319,A,Gündüz,6520,294,72,3.1,34,Evet
5320,C,Gece,13480,264,74,5.0,30,Evet
5321,C,Gündüz,15500,160,74,1.6,45,Evet
5322,B,Gece,2360,271,61,2.3,4,Hayır
5323,A,Gece,9950,151,73,1.7,27,Evet
5324,B,Gündüz,200,82,54,5.6,31,Hayır
5325,C,Gündüz,13480,170,75,,15,Evet
5326,B,Gündüz,6800,109,71,1.3,87,Evet
5327,C,Gündüz,9230,252,71,4.3,67,Evet
5328,B,Gece,5900,27,62,6.0,91,Evet
5329,B,Gece,3200,17,63,2.5,56,Hayır
5330,A,Gece,1180,67,50,0.9,10,Hayır
5331,B,Gündüz,4410,13,63,6.5,90,Evet
5332,A,Gündüz,1030,69,60,0.8,45,Hayır
5333,B,Gündüz,7450,125,66,7.8,68,Evet
5334,C,Gece,6820,210,71,1.7,38,Evet
5335,A,Gece,9200,385,73,0.7,49,Evet
5336,B,Gündüz,680,42,54,2.1,48,Hayır
5337,A,Gece,3450,53,61,2.9,28,Hayır
5338,B,Gündüz,3190,48,62,3.4,55,Hayır
5339,A,Gece,11960,5,67,4.5,73,Evet
5340,C,Gündüz,13490,19,69,3.6,2,Hayır
5341,A,Gündüz,5050,12,67,8.8,13,Evet
5342,C,Gece,14240,91,65,2.8,84,Hayır
5343,C,Gündüz,2520,62,62,3.7,56,Hayır
5344,B,Gündüz,5810,309,75,3.5,97,Evet
5345,C,Gündüz,20000,3,63,0.6,60,Hayır
5346,C,Gündüz,12600,35,68,1.1,65,Hayır
5347,C,Gece,12310,56,65,3.1,89,Hayır
5348,A,Gece,8470,100,64,,66,Hayır
5349,B,Gece,10030,29,61,0.4,32,Hayır
5350,A,Gündüz,200,41,58,9.1,52,Hayır
5351,B,Gündüz,200,29,68,4.2,23,Evet
5352,A,Gündüz,6950,127,59,3.0,33,Hayır
5353,B,Gündüz,2780,29,55,4.1,68,Hayır
5354,B,Gündüz,11900,137,63,2.0,14,Hayır
5355,B,Gece,4580,137,73,3.4,67,Evet
5356,B,Gece,200,84,58,3.8,58,Hayır
5357,C,Gece,6290,40,63,6.6,30,Evet
5358,C,Gündüz,200,13,56,2.6,4,Hayır
5359,B,Gündüz,4950,62,58,0.9,70,Hayır
5360,B,Gündüz,5150,124,63,1.5,82,Hayır
5361,C,Gündüz,10090,400,86,2.5,73,Evet
5362,A,Gündüz,10850,41,73,1.0,42,Hayır
5363,A,Gündüz,11390,16,62,1.3,65,Hayır
5364,A,Gündüz,5230,10,65,1.5,41,Hayır
5365,B,Gece,200,244,59,2.4,35,Hayır
5366,B,Gündüz,8780,76,57,4.2,32,Hayır
5367,C,Gece,14500,39,74,2.3,21,Evet
5368,B,Gündüz,7390,64,70,4.4,96,Evet
5369,A,Gece,10420,45,72,3.0,66,Evet
5370,C,Gündüz,6760,61,62,1.4,17,Hayır
5371,C,Gündüz,20000,107,74,3.8,86,Evet
5372,A,Gündüz,1680,28,64,3.4,15,Hayır
5373,A,Gündüz,9370,148,70,4.5,59,Evet
5374,A,Gece,200,174,60,5.1,16,Hayır
5375,A,Gündüz,1810,16,52,6.7,36,Hayır
5376,A,Gece,12820,17,68,4.3,65,Evet
5377,C,Gündüz,10830,62,72,3.3,99,Evet
5378,B,Gündüz,9780,150,62,4.5,99,Evet
5379,A,Gündüz,7070,49,67,2.1,89,Hayır
5380,B,Gündüz,5530,400,72,2.0,23,Evet
5381,B,Gece,12140,181,74,7.3,9,Evet
5382,C,Gece,10940,6,70,1.9,90,Hayır
5383,C,Gece,3990,96,59,1.5,92,Hayır
5384,B,Gündüz,2390,146,55,4.3,27,Hayır
5385,A,Gündüz,8480,15,62,2.1,1,Hayır
5386,C,Gece,13780,208,77,5.1,64,Hayır
5387,B,Gündüz,200,27,56,,7,Hayır
5388,C,Gündüz,8740,26,61,1.7,4,Hayır
5389,A,Gündüz,3380,103,54,4.7,93,Evet
5390,C,Gece,10360,7,74,1.9,49,Evet
5391,B,Gece,200,115,65,2.5,11,Hayır
5392,A,Gece,3170,31,65,3.7,65,Hayır
5393,B,Gece,2720,26,65,2.0,36,Hayır
5394,B,Gündüz,9470,132,70,3.5,53,Hayır
5395,A,Gece,9640,75,65,2.7,89,Hayır
5396,B,Gündüz,5340,139,64,5.2,23,Evet
5397,C,Gece,10240,86,65,5.2,64,Evet
5398,A,Gündüz,6630,236,81,2.0,82,Evet
5399,B,Gece,2330,175,66,3.8,42,Hayır
5400,B,Gündüz,840,54,57,,97,Hayır
5401,A,Gündüz,1770,115,64,1.3,44,Hayır
5402,C,Gündüz,9140,13,60,2.7,45,Hayır
5403,C,Gündüz,6760,133,73,3.6,88,Evet
5404,A,Gündüz,6730,13,60,1.3,63,Hayır
5405,C,Gece,15280,2,71,2.2,86,Evet
5406,C,Gündüz,4860,57,68,8.3,79,Evet
5407,A,Gece,6110,48,65,1.9,71,Hayır
5408,C,Gündüz,11010,125,69,2.1,24,Hayır
5409,A,Gece,7540,9,64,4.3,39,Evet
5410,C,Gündüz,11940,252,72,1.1,86,Evet
5411,B,Gece,200,202,60,2.7,61,Evet
5412,B,Gece,320,305,63,1.5,28,Hayır
5413,A,Gündüz,6130,11,70,3.5,32,Hayır
5414,C,Gece,16630,47,70,0.3,77,Hayır
5415,A,Gündüz,200,21,55,3.1,17,Hayır
5416,A,Gündüz,7560,27,61,3.7,11,Hayır
5417,A,Gece,11350,64,73,2.2,76,Evet
5418,C,Gece,11310,34,70,2.3,28,Hayır
5419,A,Gündüz,8480,27,67,2.0,76,Hayır
5420,C,Gündüz,8840,49,64,2.7,53,Hayır
5421,B,Gece,5460,84,67,7.4,99,Evet
5422,A,Gece,200,20,55,5.3,52,Hayır
5423,A,Gece,200,45,58,2.7,86,Hayır
5424,A,Gündüz,10240,69,72,2.2,85,Evet
5425,B,Gece,1570,227,68,4.9,21,Hayır
5426,C,Gündüz,9950,84,62,3.3,99,Hayır
5427,A,Gece,200,304,61,1.2,74,Hayır
5428,C,Gündüz,5660,329,70,2.5,10,Hayır
5429,A,Gece,5220,24,71,6.9,0,Evet
5430,C,Gündüz,8720,11,55,4.2,27,Hayır
5431,C,Gece,13700,324,76,2.2,1,Evet
5432,C,Gece,14040,267,67,0.8,35,Hayır
5433,B,Gündüz,7440,400,69,3.5,99,Hayır
5434,C,Gece,13070,157,69,3.0,47,Hayır
5435,A,Gündüz,13100,12,65,2.6,2,Hayır
5436,A,Gece,1200,104,58,5.0,49,Hayır
5437,A,Gündüz,5750,83,64,4.2,21,Evet
5438,B,Gündüz,11100,192,67,,85,Hayır
5439,B,Gündüz,11690,24,59,3.0,9,Hayır
5440,B,Gündüz,200,21,63,1.0,77,Hayır
5441,C,Gündüz,10590,94,71,2.0,44,Evet
5442,A,Gece,12110,14,71,1.0,1,Evet
5443,B,Gece,8290,16,56,1.0,67,Hayır
5444,A,Gece,6880,255,70,3.7,45,Hayır
5445,A,Gündüz,5020,301,72,3.5,77,Evet
5446,B,Gündüz,4270,227,61,2.8,61,Hayır
5447,C,Gündüz,13300,144,71,1.9,78,Evet
5448,B,Gece,4860,43,62,0.9,46,Hayır
5449,A,Gece,5810,44,72,2.1,0,Evet
5450,B,Gündüz,6350,206,77,3.5,13,Hayır
5451,A,Gece,2950,385,60,3.5,45,Evet
5452,C,Gündüz,14390,1,81,6.8,39,Evet
5453,B,Gündüz,19110,400,76,6.2,79,Hayır
5454,A,Gündüz,200,23,64,2.9,41,Hayır
5455,A,Gündüz,7460,194,72,2.0,86,Evet
5456,A,Gece,2580,27,55,1.6,18,Hayır
5456,A,Gece,2580,27,55,1.6,18,Hayır
5457,C,Gece,14600,50,72,0.8,38,Evet
5458,B,Gündüz,6210,113,64,1.1,75,Hayır
5459,C,Gündüz,15430,31,72,3.5,12,Evet
5460,B,Gece,11290,268,73,4.4,32,Evet
5461,B,Gece,6870,17,69,2.4,75,Hayır
5462,A,Gece,11090,8,66,9.5,58,Evet
5463,C,Gündüz,1450,352,66,1.2,77,Hayır
5464,A,Gece,13160,181,77,0.7,51,Evet
5465,B,Gündüz,7690,52,67,9.5,85,Evet
5466,B,Gece,10850,70,71,0.9,87,Evet
5467,B,Gündüz,510,120,58,2.3,97,Hayır
5468,C,Gece,8260,177,62,1.7,12,Hayır
5469,A,Gündüz,6660,52,61,3.7,59,Hayır
5470,B,Gündüz,5920,112,62,2.2,11,Hayır
5471,B,Gece,7270,35,68,4.4,22,Evet
5472,B,Gece,10880,4,71,5.0,30,Evet
5473,A,Gündüz,200,199,62,0.8,64,Hayır
5474,A,Gece,10380,12,73,1.5,43,Evet
5475,A,Gece,6040,2,69,4.7,86,Evet
5476,A,Gündüz,5080,241,68,5.7,29,Evet
5477,B,Gündüz,200,254,60,3.2,61,Hayır
5478,B,Gündüz,8260,66,73,3.9,76,Evet
5479,B,Gece,200,89,60,7.1,98,Hayır
5480,B,Gündüz,8920,49,66,2.2,24,Evet
5481,B,Gündüz,200,58,58,3.2,73,Hayır
5482,A,Gece,6240,30,59,6.2,8,Hayır
5483,B,Gece,5460,27,55,6.4,54,Hayır
5484,A,Gece,11260,46,70,2.7,41,Hayır
5485,A,Gece,5200,197,62,1.6,95,Hayır
5486,B,Gece,2880,353,83,2.7,77,Evet
5487,B,Gece,3720,177,59,2.9,92,Hayır
5488,A,Gece,11730,135,63,1.5,85,Hayır
5489,B,Gündüz,8410,72,68,1.7,41,Hayır
5490,B,Gündüz,4260,37,69,6.4,73,Evet
5491,B,Gündüz,4940,110,64,4.0,3,Hayır
5492,B,Gece,200,7,61,2.3,55,Hayır
5493,B,Gündüz,7750,400,63,1.2,4,Hayır
5494,A,Gündüz,200,136,58,1.7,72,Hayır
5495,C,Gece,15380,232,69,0.7,96,Hayır
5496,B,Gündüz,6580,1,53,3.3,68,Hayır
5497,B,Gündüz,16740,12,71,1.6,83,Evet
5498,B,Gece,1050,157,51,3.5,23,Hayır
5499,A,Gece,5540,3,55,4.6,99,Hayır
5500,B,Gündüz,14090,84,67,3.5,55,Hayır
5501,B,Gündüz,11360,28,62,2.1,67,Hayır
