mesafe_km,hava_durumu,kurye_deneyim_ay,aktarma_sayisi,hafta_sonu,paket_agirlik_kg,gecikti
107,Yagmurlu,13,2,0,1.3,1
232,Yagmurlu,17,2,0,14.5,0
139,Acik,12,0,0,7.5,0
74,Acik,52,1,0,2.8,0
153,Acik,48,1,0,2.4,0
296,Acik,47,0,1,0.8,0
395,Karli,19,2,0,4.5,1
38,Acik,9,0,0,0.7,0
240,Karli,28,0,1,10.3,0
225,Acik,12,0,0,5.5,0
285,Acik,30,0,1,4.3,0
94,Acik,9,0,0,4.8,0
96,Acik,20,1,1,5.7,0
538,Karli,33,1,0,3.3,1
123,Acik,12,0,0,3.7,0
177,Yagmurlu,12,0,0,15.6,0
191,Yagmurlu,4,2,0,9.6,1
141,Acik,9,0,0,7.2,1
338,Acik,19,1,1,2.8,0
319,Acik,21,1,1,0.4,0
217,Acik,23,1,0,6.6,0
148,Yagmurlu,2,2,0,4.8,1
205,Acik,12,1,1,3.6,0
255,Karli,4,3,1,4.1,1
132,Yagmurlu,18,2,0,1.3,1
355,Acik,3,0,0,1.8,0
464,Yagmurlu,6,0,1,9.6,1
598,Acik,26,0,0,0.3,0
574,Karli,10,1,0,8.6,1
190,Acik,37,1,1,12.4,0
264,Karli,23,0,0,6.5,1
214,Yagmurlu,12,0,1,6.2,1
214,Yagmurlu,29,1,0,1.8,0
204,Acik,13,1,1,2.1,0
244,Yagmurlu,25,1,1,3.0,0
514,Acik,8,3,1,1.0,1
302,Yagmurlu,30,0,1,1.9,0
90,Acik,3,1,1,4.7,0
451,Acik,6,3,0,2.8,1
282,Acik,7,1,1,5.1,0
341,Acik,9,1,1,9.6,0
298,Acik,19,1,0,5.1,0
307,Yagmurlu,15,0,0,6.3,0
317,Acik,25,2,0,0.7,0
47,Yagmurlu,33,1,0,9.5,1
338,Acik,3,1,0,0.7,0
137,Yagmurlu,36,1,0,2.7,0
166,Yagmurlu,13,1,0,1.4,0
242,Acik,46,0,0,0.4,0
658,Yagmurlu,8,2,0,4.9,1
105,Karli,2,1,1,6.7,1
236,Yagmurlu,23,0,0,12.6,0
200,Acik,22,1,0,5.4,0
447,Acik,6,3,0,1.9,1
196,Yagmurlu,6,1,1,2.8,1
284,Acik,26,1,1,0.5,0
105,Yagmurlu,20,1,0,3.1,0
497,Acik,12,2,0,4.2,1
68,Yagmurlu,21,1,0,6.5,0
335,Acik,18,2,0,7.9,0
286,Acik,7,0,1,6.3,0
315,Karli,28,3,0,1.7,1
69,Yagmurlu,24,3,0,1.2,1
193,Karli,15,1,0,7.5,1
432,Karli,26,1,0,0.4,0
721,Acik,50,0,0,17.1,0
224,Acik,6,1,0,2.1,0
406,Acik,12,0,0,10.5,0
267,Acik,13,0,0,2.5,0
232,Acik,26,3,0,6.9,1
176,Karli,9,0,1,1.3,1
243,Acik,25,1,0,4.5,0
382,Acik,10,0,0,0.6,0
403,Acik,6,1,0,5.7,0
83,Acik,16,1,1,1.3,0
164,Acik,10,0,1,1.5,0
100,Yagmurlu,17,1,1,2.9,1
252,Acik,20,3,0,3.5,0
188,Yagmurlu,3,1,1,6.5,1
308,Karli,11,3,0,6.0,0
323,Yagmurlu,16,1,1,4.9,0
25,Yagmurlu,27,1,1,8.6,1
242,Acik,24,0,0,5.9,0
521,Acik,7,0,0,6.2,0
164,Acik,13,2,0,1.5,0
160,Karli,21,1,0,9.1,1
463,Yagmurlu,13,1,1,8.3,1
416,Acik,8,2,0,5.1,0
110,Acik,15,0,1,8.1,0
389,Yagmurlu,20,2,1,4.2,1
131,Yagmurlu,7,0,0,13.1,1
159,Acik,23,3,0,4.7,0
109,Karli,17,0,0,4.1,0
82,Yagmurlu,23,0,1,5.9,1
263,Yagmurlu,14,1,0,15.1,1
71,Acik,45,0,0,2.6,0
270,Acik,19,3,0,5.6,0
264,Karli,25,1,1,2.8,1
216,Acik,23,0,0,4.0,0
170,Acik,13,0,0,1.9,0
145,Acik,18,3,1,6.1,0
98,Acik,9,1,0,4.4,0
600,Yagmurlu,43,2,0,7.9,1
209,Acik,21,0,0,9.6,0
204,Yagmurlu,8,3,0,10.7,1
114,Acik,37,1,0,2.9,0
560,Acik,14,1,0,5.9,0
153,Acik,27,1,0,11.2,0
289,Yagmurlu,3,0,0,1.9,0
328,Acik,32,3,0,4.8,0
263,Acik,20,3,0,2.0,0
69,Yagmurlu,7,1,0,14.9,0
378,Acik,20,3,1,11.1,1
151,Acik,40,0,1,6.7,0
413,Acik,9,0,0,6.7,0
231,Yagmurlu,9,0,1,2.2,1
342,Acik,13,1,1,12.1,0
537,Acik,16,0,0,3.4,0
369,Acik,29,1,1,2.4,0
347,Acik,21,0,1,10.0,1
390,Acik,13,2,0,3.1,0
127,Acik,19,2,0,2.5,0
425,Acik,44,1,0,8.3,0
198,Acik,24,0,0,1.4,0
202,Yagmurlu,14,2,1,6.8,1
257,Acik,13,0,0,4.8,0
184,Acik,18,2,0,7.8,0
106,Karli,28,1,0,6.2,0
243,Karli,8,1,1,21.7,1
203,Yagmurlu,26,0,0,5.2,0
198,Acik,14,2,1,3.1,1
226,Acik,15,3,0,4.4,0
28,Acik,60,1,0,6.2,0
199,Acik,24,3,0,14.3,0
580,Acik,10,3,0,7.2,0
551,Acik,20,0,0,2.1,0
249,Acik,29,2,0,30.0,0
243,Yagmurlu,24,0,0,9.3,0
20,Acik,2,1,0,2.0,0
158,Acik,15,0,1,1.5,0
387,Yagmurlu,21,3,1,1.2,1
181,Yagmurlu,20,2,0,4.2,0
475,Acik,11,0,1,4.3,1
457,Acik,25,1,0,2.4,0
156,Acik,32,1,0,1.0,0
263,Acik,3,2,0,1.5,0
610,Yagmurlu,3,3,0,7.3,1
68,Acik,20,0,1,3.4,0
184,Acik,26,1,0,1.7,0
61,Acik,9,1,0,4.8,0
120,Acik,2,1,0,5.6,0
724,Acik,15,1,0,6.1,0
184,Acik,20,0,0,4.6,0
37,Karli,12,0,0,4.1,0
105,Yagmurlu,30,1,0,10.6,0
55,Acik,19,3,0,1.6,0
270,Acik,9,0,0,3.6,0
325,Yagmurlu,9,0,1,0.5,0
428,Acik,15,2,0,3.2,0
373,Acik,12,3,0,5.1,0
71,Yagmurlu,3,1,0,8.2,1
314,Acik,18,0,0,0.5,0
218,Acik,10,1,0,5.0,0
469,Acik,11,1,0,15.8,0
402,Acik,6,1,0,6.4,1
784,Acik,41,0,0,1.3,0
112,Karli,23,0,0,3.2,0
99,Acik,47,0,0,6.6,0
166,Acik,12,2,0,2.5,0
225,Yagmurlu,24,1,0,5.4,0
142,Acik,18,0,0,5.2,0
118,Acik,9,1,1,4.1,0
299,Acik,12,2,0,1.1,0
166,Yagmurlu,23,0,1,2.2,0
137,Acik,6,1,0,17.0,0
71,Yagmurlu,30,1,0,3.0,0
22,Yagmurlu,17,1,0,3.4,0
562,Yagmurlu,28,3,1,3.4,1
552,Karli,20,2,0,8.1,1
410,Yagmurlu,3,0,0,3.5,1
348,Yagmurlu,15,0,0,4.2,0
154,Yagmurlu,31,0,0,5.0,0
358,Yagmurlu,17,0,1,8.8,1
93,Yagmurlu,15,1,0,4.2,0
258,Karli,17,3,0,4.6,1
127,Acik,3,2,0,2.6,1
359,Yagmurlu,33,0,0,5.5,0
636,Acik,1,1,1,6.8,1
105,Yagmurlu,37,0,1,7.2,1
160,Acik,11,1,1,15.2,0
255,Yagmurlu,21,0,0,2.1,0
42,Yagmurlu,2,3,0,4.4,1
58,Karli,26,2,0,3.6,1
624,Acik,23,0,0,13.3,0
300,Yagmurlu,22,1,1,7.4,0
147,Yagmurlu,2,1,0,0.8,1
236,Karli,8,2,0,2.4,0
167,Karli,20,1,0,3.2,0
260,Acik,32,0,1,0.9,0
172,Acik,7,1,0,4.7,0
223,Acik,7,0,0,2.7,0
380,Karli,19,1,0,15.6,0
364,Acik,60,0,1,5.5,0
602,Yagmurlu,9,1,0,3.1,1
315,Yagmurlu,11,2,0,1.7,1
247,Acik,10,0,0,4.1,0
659,Acik,14,1,1,12.5,1
206,Acik,34,2,1,3.6,1
25,Yagmurlu,14,0,0,4.1,0
413,Acik,60,1,0,9.7,0
290,Acik,16,1,0,5.4,0
239,Yagmurlu,36,1,0,8.0,0
420,Acik,12,2,0,5.8,0
173,Yagmurlu,5,1,0,5.5,0
27,Acik,14,1,1,0.7,0
426,Acik,22,0,0,1.5,0
143,Acik,8,0,0,4.9,0
108,Acik,32,0,0,1.9,0
29,Acik,10,3,0,4.1,0
403,Yagmurlu,6,2,0,1.3,1
15,Acik,60,2,0,9.7,0
534,Acik,8,0,0,2.1,0
186,Acik,10,1,0,1.7,0
415,Acik,25,2,0,1.0,0
322,Karli,12,1,0,7.1,0
737,Acik,6,0,0,4.1,1
316,Karli,9,2,0,9.5,1
521,Acik,49,0,0,2.6,1
156,Acik,23,0,0,1.4,0
57,Acik,26,3,0,3.9,0
458,Acik,18,1,0,10.8,0
56,Yagmurlu,21,1,1,0.7,0
400,Acik,11,1,0,5.3,0
97,Acik,17,3,0,5.7,0
294,Yagmurlu,2,0,0,12.1,1
745,Yagmurlu,29,2,1,1.9,1
379,Karli,11,0,0,0.7,1
207,Karli,5,0,1,2.9,1
327,Yagmurlu,17,1,0,7.9,0
161,Yagmurlu,13,1,1,4.3,1
928,Yagmurlu,29,0,0,6.2,1
134,Acik,15,1,0,1.5,0
224,Yagmurlu,9,1,0,3.4,0
357,Acik,15,1,0,4.4,0
311,Yagmurlu,39,2,1,0.9,1
335,Karli,29,2,1,4.4,1
163,Acik,23,1,0,3.1,0
200,Yagmurlu,30,1,0,24.8,0
445,Karli,24,1,0,4.2,0
430,Acik,7,1,0,12.6,0
316,Acik,26,0,0,6.1,1
563,Karli,32,0,0,3.7,1
456,Karli,34,0,0,11.3,1
422,Acik,6,1,1,1.3,1
55,Acik,10,3,1,2.8,0
313,Yagmurlu,9,1,1,8.2,0
276,Acik,12,1,0,0.3,0
610,Acik,21,1,1,4.0,0
215,Acik,17,1,0,4.0,1
260,Acik,17,1,0,5.1,0
96,Acik,5,1,0,3.4,0
114,Yagmurlu,10,2,1,8.0,0
611,Yagmurlu,35,0,0,2.0,0
334,Yagmurlu,32,1,1,8.8,1
746,Acik,14,1,0,1.5,0
212,Acik,26,2,1,5.5,1
69,Acik,20,3,0,10.4,0
190,Acik,28,2,1,1.9,1
165,Acik,27,1,0,2.3,0
388,Acik,15,0,0,9.0,0
378,Acik,23,1,0,4.9,0
346,Acik,21,2,0,0.7,1
893,Yagmurlu,16,3,0,5.0,1
543,Yagmurlu,13,2,0,7.0,1
121,Karli,45,0,0,9.3,0
466,Yagmurlu,16,2,1,5.4,1
248,Acik,25,2,0,6.3,0
207,Acik,43,1,1,13.5,0
586,Acik,23,1,0,8.4,0
114,Acik,22,1,0,3.3,0
446,Acik,16,1,1,3.7,0
401,Acik,21,0,0,10.1,0
112,Acik,12,0,0,5.3,0
53,Acik,60,2,0,4.7,1
228,Yagmurlu,5,3,0,3.2,1
501,Yagmurlu,14,2,0,9.8,1
313,Yagmurlu,23,0,0,2.0,0
598,Yagmurlu,22,0,1,2.8,1
298,Acik,12,0,0,9.8,0
624,Acik,3,2,0,9.7,1
152,Yagmurlu,5,1,0,19.4,1
