musteri_id,yas,kullanim_suresi_ay,sozlesme_tipi,internet_hizi_mbps,ek_paket_sayisi,aylik_ucret,teknik_destek_cagrisi,fatura_gecikme_sayisi,memnuniyet_puani,musteri_no_son_hane,ayrildi_mi
10045,23,31,Yillik,100,2,496.0,0,2,10,3,0
10046,33,13,Aylik,50,2,291.0,2,2,7,4,0
10047,36,7,Aylik,16,3,300.0,1,2,4,9,0
10048,56,14,Aylik,25,1,242.0,2,0,7,3,0
10049,46,51,Aylik,25,2,267.0,0,2,6,2,0
10050,19,31,Yillik,16,1,205.0,1,1,5,0,0
10051,46,8,Yillik,50,1,295.0,1,0,8,3,0
10052,37,32,Aylik,50,3,423.0,2,0,5,8,0
10053,33,8,Iki Yillik,50,1,307.0,4,0,6,0,0
10054,50,27,Yillik,50,0,287.0,0,2,7,6,0
10055,55,10,Aylik,16,0,150.0,3,0,6,2,1
10056,54,7,Aylik,200,1,576.0,1,1,10,7,1
10057,31,56,Yillik,100,0,335.0,1,0,6,5,0
10058,38,16,Yillik,100,1,387.0,0,1,8,0,0
10059,46,31,Aylik,16,3,354.0,0,0,7,9,0
10060,55,21,Aylik,200,0,512.0,1,0,8,4,0
10061,36,9,Aylik,100,1,361.0,0,0,8,7,0
10062,40,17,Iki Yillik,100,1,394.0,0,4,9,2,0
10063,28,9,Yillik,16,2,198.0,0,1,8,3,0
10064,26,72,Aylik,50,2,317.0,1,1,7,6,0
10065,53,35,Yillik,200,2,605.0,1,1,7,5,0
10066,60,21,Iki Yillik,50,0,203.0,2,3,7,6,0
10067,41,30,Iki Yillik,50,1,317.0,1,0,5,8,0
10068,55,33,Aylik,200,1,528.0,3,1,7,8,1
10069,47,33,Aylik,25,1,228.0,1,0,7,1,0
10070,34,32,Aylik,50,1,290.0,0,0,8,2,0
10071,47,31,Aylik,50,0,282.0,2,0,7,3,0
10072,62,22,Iki Yillik,200,0,520.0,2,2,7,5,0
10073,42,54,Aylik,16,1,248.0,2,0,7,4,0
10074,62,23,Aylik,50,1,305.0,1,0,6,5,1
10075,18,21,Aylik,50,0,239.0,1,0,8,7,0
10076,53,23,Aylik,100,1,337.0,1,0,7,1,0
10077,43,24,Yillik,50,4,365.0,1,0,7,5,0
10078,38,5,Aylik,100,2,424.0,0,0,9,8,1
10079,43,10,Aylik,200,1,546.0,3,1,6,4,1
10080,18,19,Aylik,16,0,203.0,0,1,8,0,0
10081,39,4,Aylik,25,2,304.0,0,2,7,7,1
10082,47,21,Aylik,16,0,164.0,2,0,10,3,0
10083,61,24,Yillik,25,1,192.0,1,0,7,7,0
10084,35,7,Yillik,50,1,298.0,5,0,8,3,1
10085,31,13,Yillik,100,2,384.0,3,0,7,7,1
10086,35,46,Iki Yillik,100,1,348.0,0,0,4,8,0
10087,54,30,Iki Yillik,16,0,150.0,2,0,6,4,0
10088,46,29,Iki Yillik,16,2,256.0,1,0,9,4,0
10089,35,43,Aylik,50,0,276.0,1,1,6,1,1
10090,49,11,Aylik,50,2,325.0,0,1,3,8,1
10091,43,7,Aylik,25,2,262.0,2,0,7,3,1
10092,55,39,Iki Yillik,100,0,277.0,2,2,5,2,0
10093,33,19,Iki Yillik,100,2,439.0,1,1,7,1,0
10094,38,10,Iki Yillik,25,1,205.0,2,0,10,2,0
10095,37,5,Aylik,100,1,379.0,0,0,8,3,1
10096,23,23,Iki Yillik,25,0,175.0,1,1,10,8,0
10097,46,18,Aylik,50,4,444.0,1,0,6,5,0
10098,45,16,Aylik,50,2,319.0,0,0,7,9,0
10099,42,2,Aylik,16,3,303.0,1,3,5,4,1
10100,39,53,Aylik,100,2,437.0,1,4,6,8,0
10101,24,6,Yillik,25,3,396.0,2,1,5,7,1
10102,37,17,Aylik,50,2,356.0,1,4,5,5,1
10103,38,15,Aylik,25,0,184.0,0,0,10,2,0
10104,32,31,Yillik,16,2,261.0,1,0,3,6,0
10105,40,5,Iki Yillik,16,1,197.0,1,1,10,9,0
10106,47,28,Yillik,50,1,247.0,2,0,9,5,0
10107,67,24,Aylik,50,3,351.0,1,0,8,7,0
10108,44,12,Iki Yillik,25,0,160.0,1,1,5,5,0
10109,45,28,Iki Yillik,50,3,393.0,1,2,4,9,0
10110,41,21,Aylik,50,2,288.0,2,0,6,3,1
10111,18,61,Yillik,50,1,327.0,2,2,8,9,0
10112,42,18,Aylik,50,2,351.0,1,0,7,6,0
10113,43,9,Aylik,100,2,421.0,2,0,5,6,1
10114,74,28,Yillik,50,2,325.0,4,0,9,7,0
10115,39,16,Iki Yillik,25,0,168.0,0,0,10,1,0
10116,46,21,Aylik,16,1,225.0,0,0,7,5,0
10117,42,7,Iki Yillik,25,0,226.0,2,2,7,2,0
10118,27,31,Iki Yillik,16,1,191.0,0,3,4,7,0
10119,57,14,Iki Yillik,50,2,271.0,1,0,6,3,0
10120,52,25,Aylik,25,2,302.0,3,2,8,3,0
10121,52,71,Iki Yillik,25,3,334.0,0,0,8,1,0
10122,30,17,Aylik,100,0,291.0,0,1,6,5,0
10123,60,34,Yillik,25,1,207.0,1,0,6,5,0
10124,24,18,Aylik,25,1,202.0,1,1,6,0,0
10125,50,12,Aylik,16,3,280.0,2,2,6,7,1
10126,70,47,Yillik,100,1,364.0,1,1,8,2,0
10127,29,3,Aylik,16,3,296.0,1,0,3,0,1
10128,35,40,Aylik,25,1,210.0,3,1,7,9,1
10129,43,3,Aylik,50,1,253.0,1,0,8,0,0
10130,35,37,Yillik,50,3,362.0,1,0,6,0,0
10131,22,21,Aylik,50,1,286.0,1,0,6,4,1
10132,43,9,Yillik,100,1,364.0,0,0,6,4,0
10133,28,15,Aylik,16,2,301.0,2,1,6,0,0
10134,48,33,Aylik,25,1,250.0,1,0,7,4,1
10135,30,67,Aylik,25,2,222.0,0,1,7,6,0
10136,62,5,Aylik,16,0,189.0,2,0,3,4,0
10137,32,10,Aylik,25,1,254.0,0,1,8,8,0
10138,38,6,Aylik,25,1,217.0,1,1,6,3,1
10139,53,18,Iki Yillik,50,0,183.0,2,2,10,8,0
10140,26,38,Yillik,50,1,280.0,1,0,5,7,0
10141,45,6,Aylik,25,1,232.0,3,2,5,0,0
10142,59,20,Aylik,50,0,196.0,1,0,7,3,1
10143,21,37,Iki Yillik,25,3,272.0,1,1,8,6,0
10144,44,15,Aylik,25,2,274.0,2,1,3,0,1
10145,45,24,Aylik,50,2,317.0,3,0,5,7,0
10146,52,45,Yillik,16,2,246.0,2,1,8,1,0
10147,26,8,Yillik,16,1,212.0,3,3,5,7,1
10148,25,4,Yillik,25,2,239.0,1,1,10,3,0
10149,49,26,Aylik,200,2,595.0,1,1,6,7,0
10150,46,26,Aylik,50,2,344.0,3,0,5,0,0
10151,45,14,Yillik,16,0,158.0,1,1,8,4,0
10152,47,12,Aylik,100,1,316.0,0,0,10,8,1
10153,33,21,Aylik,50,3,353.0,0,0,8,6,0
10154,45,8,Yillik,50,1,243.0,1,1,9,2,0
10155,46,8,Aylik,100,2,429.0,2,2,10,3,0
10156,33,33,Iki Yillik,25,1,244.0,0,0,5,9,0
10157,66,8,Iki Yillik,25,0,150.0,0,1,9,6,0
10158,48,4,Yillik,50,2,352.0,0,0,4,5,0
10159,27,12,Aylik,50,2,286.0,1,0,8,3,0
10160,51,14,Aylik,50,0,290.0,2,0,7,2,1
10161,29,28,Aylik,50,3,368.0,3,0,9,1,1
10162,52,13,Aylik,200,0,476.0,0,1,9,9,1
10163,57,50,Iki Yillik,100,0,290.0,0,1,8,8,0
10164,31,22,Aylik,100,2,432.0,1,0,8,2,0
10165,55,11,Aylik,100,4,496.0,2,0,8,6,0
10166,47,27,Aylik,200,1,562.0,0,1,7,0,0
10167,53,50,Yillik,16,3,362.0,1,2,7,7,0
10168,67,32,Aylik,25,3,298.0,1,0,10,0,0
10169,39,5,Aylik,50,2,327.0,0,3,10,1,0
10170,32,15,Aylik,100,1,425.0,1,1,7,0,1
10171,30,25,Iki Yillik,50,3,379.0,2,3,7,3,0
10172,31,31,Aylik,50,3,314.0,3,0,7,1,0
10173,41,18,Iki Yillik,16,3,323.0,1,2,4,0,0
10174,46,16,Iki Yillik,25,2,237.0,2,0,6,0,0
10175,46,61,Aylik,50,3,419.0,2,1,10,1,0
10176,53,32,Yillik,16,0,150.0,2,1,6,5,0
10177,42,28,Aylik,25,1,336.0,3,1,10,1,1
10178,61,13,Iki Yillik,25,1,284.0,0,0,9,1,0
10179,39,8,Yillik,25,1,205.0,3,1,8,7,1
10180,75,28,Aylik,50,1,281.0,2,3,8,4,0
10181,50,35,Aylik,25,0,214.0,2,1,5,7,0
10182,31,20,Aylik,50,4,442.0,4,2,6,7,1
10183,28,32,Iki Yillik,16,0,186.0,1,0,10,1,0
10184,48,33,Aylik,100,3,509.0,1,0,6,6,0
10185,39,36,Yillik,25,1,228.0,1,1,9,8,0
10186,51,5,Aylik,50,2,312.0,1,1,4,7,1
10187,48,16,Iki Yillik,50,2,313.0,0,2,5,8,1
10188,41,29,Aylik,25,3,353.0,4,3,10,7,1
10189,31,21,Yillik,100,0,343.0,3,0,7,3,0
10190,22,33,Aylik,50,1,290.0,2,0,6,9,0
10191,36,28,Yillik,25,3,350.0,0,0,10,6,0
10192,53,2,Aylik,16,2,189.0,1,0,9,8,0
10193,45,42,Aylik,200,0,531.0,3,0,9,8,1
10194,26,14,Aylik,100,2,428.0,3,1,6,3,1
10195,44,10,Yillik,25,0,246.0,3,1,6,6,0
10196,47,41,Aylik,25,1,179.0,1,3,8,5,0
10197,31,31,Yillik,100,1,430.0,2,0,8,2,0
10198,44,45,Aylik,50,0,238.0,0,1,6,9,0
10199,43,25,Iki Yillik,100,1,392.0,0,0,7,5,0
10200,27,15,Iki Yillik,25,1,291.0,1,0,8,7,0
10201,47,23,Aylik,50,0,255.0,1,1,9,1,1
10202,49,9,Aylik,25,0,202.0,2,1,8,2,0
10203,56,6,Aylik,25,0,196.0,1,2,4,7,0
10204,56,12,Aylik,50,0,218.0,2,0,7,3,1
10205,24,53,Aylik,200,2,609.0,0,1,5,3,0
10206,30,13,Yillik,25,3,297.0,1,1,8,1,1
10207,49,4,Yillik,25,2,276.0,1,0,9,9,0
10208,49,18,Iki Yillik,50,2,243.0,1,0,7,0,0
10209,49,13,Aylik,50,3,385.0,1,0,6,6,0
10210,75,42,Yillik,100,1,371.0,3,0,7,3,0
10211,49,51,Aylik,100,0,318.0,3,0,7,5,0
10212,57,15,Aylik,16,1,223.0,2,0,6,7,1
10213,54,25,Aylik,200,0,470.0,0,0,5,6,0
10214,50,26,Aylik,100,2,488.0,5,0,3,6,1
10215,38,20,Aylik,100,0,326.0,0,2,9,5,0
10216,52,17,Yillik,50,0,230.0,0,0,8,3,0
10217,32,10,Iki Yillik,100,4,476.0,0,0,8,3,0
10218,39,3,Aylik,16,1,216.0,0,2,9,8,0
10219,36,9,Aylik,25,4,416.0,3,0,5,4,1
10220,43,19,Aylik,100,3,501.0,3,1,4,8,1
10221,72,6,Yillik,25,1,262.0,0,0,8,8,0
10222,18,24,Aylik,16,0,190.0,2,1,8,3,1
10223,51,22,Yillik,100,1,362.0,0,2,4,1,0
10224,21,13,Iki Yillik,100,0,279.0,2,2,8,1,0
10225,36,17,Iki Yillik,16,1,208.0,1,2,6,8,0
10226,56,7,Aylik,100,1,367.0,1,0,5,8,0
10227,43,36,Iki Yillik,50,0,272.0,1,1,6,2,0
10228,28,35,Yillik,50,0,246.0,1,0,2,4,0
10229,33,8,Aylik,100,1,431.0,0,0,6,4,0
10230,51,8,Yillik,25,2,319.0,1,1,6,1,0
10231,33,10,Iki Yillik,16,1,199.0,0,1,8,1,0
10232,45,30,Aylik,25,1,170.0,0,0,7,9,0
10233,43,26,Aylik,50,3,418.0,2,0,8,0,0
10234,34,41,Aylik,50,1,328.0,0,0,2,1,1
10235,70,44,Yillik,100,2,372.0,1,3,5,6,0
10236,50,5,Aylik,100,0,383.0,3,1,8,0,1
10237,18,29,Iki Yillik,50,1,293.0,3,0,6,0,0
10238,44,42,Yillik,100,1,381.0,2,1,9,8,0
10239,33,16,Yillik,16,3,362.0,1,0,4,1,0
10240,53,20,Aylik,16,2,307.0,3,0,8,3,0
10241,32,18,Yillik,100,2,443.0,0,1,6,2,0
10242,41,19,Aylik,16,1,232.0,0,2,6,3,0
10243,49,36,Aylik,25,1,254.0,3,0,9,6,0
10244,53,60,Yillik,50,1,266.0,3,1,9,9,0
10245,26,49,Aylik,25,2,276.0,3,0,9,1,1
10246,38,14,Yillik,100,1,343.0,3,1,10,1,1
10247,36,25,Aylik,25,0,176.0,3,0,9,8,1
10248,34,11,Aylik,16,1,203.0,1,1,5,5,1
10249,65,12,Aylik,25,0,165.0,2,0,7,6,0
10250,47,20,Iki Yillik,50,1,285.0,0,0,6,4,0
10251,26,12,Yillik,25,1,221.0,3,0,10,4,0
10252,54,13,Yillik,50,2,343.0,0,0,9,3,0
10253,70,24,Aylik,100,2,363.0,1,2,7,7,1
10254,55,29,Aylik,100,1,371.0,0,0,9,6,1
10255,22,28,Iki Yillik,25,2,282.0,0,0,5,9,1
10256,36,29,Aylik,25,0,177.0,0,0,7,1,0
10257,58,7,Aylik,50,0,229.0,0,0,5,1,0
10258,33,11,Yillik,200,0,465.0,1,0,4,5,0
10259,48,21,Aylik,200,0,532.0,2,0,8,0,1
10260,52,41,Iki Yillik,25,0,210.0,3,0,9,6,1
10261,30,72,Yillik,50,3,387.0,2,2,8,7,0
10262,41,25,Aylik,25,1,269.0,0,0,7,9,0
10263,18,33,Aylik,16,4,357.0,3,2,5,7,0
10264,29,6,Aylik,16,0,187.0,2,2,5,2,1
10265,39,33,Iki Yillik,25,1,238.0,4,0,5,6,0
10266,26,67,Yillik,50,2,349.0,4,0,7,0,1
10267,63,11,Aylik,16,0,150.0,1,1,9,2,1
10268,23,13,Aylik,50,0,204.0,0,2,9,5,0
10269,36,36,Yillik,25,0,243.0,1,1,4,8,0
10270,44,21,Yillik,50,0,150.0,1,0,6,4,0
10271,61,3,Aylik,25,0,183.0,1,0,6,4,0
10272,23,14,Aylik,16,0,211.0,1,2,2,8,1
10273,57,51,Aylik,25,0,184.0,1,0,8,8,1
10274,42,17,Yillik,25,2,263.0,0,1,7,5,0
10275,29,17,Iki Yillik,50,3,375.0,1,0,7,4,0
10276,48,35,Aylik,16,3,293.0,0,1,10,9,0
10277,45,26,Yillik,50,3,371.0,1,0,7,1,0
10278,34,16,Aylik,16,2,236.0,1,1,6,7,0
10279,43,13,Aylik,50,1,319.0,1,1,8,7,0
10280,37,72,Aylik,100,2,470.0,0,1,9,6,0
10281,43,45,Iki Yillik,16,1,211.0,2,0,8,7,0
10282,51,29,Aylik,25,1,184.0,1,1,8,2,0
10283,63,30,Yillik,16,1,197.0,0,1,7,2,0
10284,26,19,Aylik,50,2,319.0,0,1,7,1,0
10285,70,26,Aylik,25,1,250.0,1,1,7,0,1
10286,18,17,Aylik,50,0,200.0,0,2,6,2,0
10287,40,10,Yillik,50,0,208.0,2,1,6,2,0
10288,50,27,Aylik,100,2,438.0,2,0,10,6,0
10289,46,16,Yillik,50,0,268.0,0,0,10,9,0
10290,34,28,Aylik,50,0,213.0,1,1,10,8,0
10291,39,31,Aylik,25,2,231.0,1,1,4,0,0
10292,36,29,Aylik,200,1,680.0,2,0,4,7,1
10293,34,10,Aylik,100,2,447.0,0,1,5,0,1
10294,53,15,Aylik,25,2,268.0,1,0,7,2,0
10295,47,16,Aylik,100,2,450.0,2,0,2,3,1
10296,33,39,Yillik,25,0,183.0,0,1,6,7,0
10297,54,38,Yillik,100,3,495.0,2,0,10,0,0
10298,46,12,Aylik,100,1,381.0,1,1,9,1,0
10299,53,7,Aylik,16,2,264.0,1,1,6,4,0
10300,50,72,Aylik,50,0,231.0,3,0,6,5,0
10301,31,28,Aylik,25,0,150.0,1,2,8,4,0
10302,35,6,Aylik,25,4,435.0,2,1,9,2,0
10303,52,13,Iki Yillik,25,2,245.0,0,0,6,9,1
10304,50,40,Aylik,50,2,277.0,1,0,7,6,0
10305,42,71,Aylik,25,3,315.0,0,3,6,0,0
10306,44,63,Aylik,16,1,182.0,1,1,4,1,0
10307,59,27,Aylik,50,3,368.0,1,1,7,8,1
10308,34,21,Yillik,16,3,329.0,1,1,6,3,0
10309,49,9,Aylik,16,0,205.0,2,0,5,7,1
10310,39,22,Aylik,25,0,216.0,0,0,8,8,0
10311,39,10,Yillik,25,3,312.0,3,0,8,6,0
10312,56,15,Aylik,50,1,282.0,1,0,8,0,0
10313,53,36,Yillik,16,3,320.0,0,0,6,4,0
10314,53,17,Yillik,200,2,548.0,2,0,3,5,0
10315,59,16,Aylik,50,0,255.0,1,2,8,7,0
10316,42,20,Yillik,25,0,150.0,2,0,6,9,0
10317,51,72,Aylik,25,0,259.0,1,0,5,7,1
10318,38,8,Yillik,25,1,218.0,2,0,5,8,0
10319,46,25,Aylik,50,0,229.0,2,2,6,8,1
10320,40,60,Aylik,16,1,188.0,1,1,10,3,0
10321,43,20,Yillik,16,1,193.0,1,1,6,5,0
10322,50,45,Iki Yillik,100,0,410.0,1,0,5,2,0
10323,31,6,Iki Yillik,25,0,220.0,1,1,8,0,0
10324,69,18,Yillik,25,1,178.0,0,2,7,5,0
10325,29,11,Aylik,100,1,428.0,0,0,3,0,1
10326,26,20,Aylik,50,2,367.0,1,2,8,8,1
10327,57,20,Aylik,25,0,178.0,1,0,10,5,0
10328,52,21,Aylik,50,3,381.0,2,1,2,0,0
10329,50,36,Aylik,16,3,305.0,3,2,5,2,0
10330,50,2,Iki Yillik,50,0,304.0,0,0,2,0,0
10331,42,13,Aylik,50,2,297.0,2,0,7,1,1
10332,30,24,Aylik,100,5,560.0,1,0,9,5,1
10333,43,3,Aylik,200,2,595.0,2,1,7,6,1
10334,33,31,Iki Yillik,100,0,280.0,1,2,10,0,0
10335,55,13,Yillik,100,2,497.0,1,3,9,9,0
10336,40,18,Yillik,50,0,194.0,3,1,10,4,0
10337,31,37,Aylik,25,0,195.0,0,0,9,5,0
10338,38,46,Iki Yillik,25,1,172.0,0,2,6,3,0
10339,47,32,Aylik,50,2,311.0,1,0,7,5,0
10340,35,8,Iki Yillik,100,0,345.0,1,1,5,4,0
10341,31,31,Aylik,25,1,204.0,0,1,7,6,1
10342,45,32,Aylik,100,2,441.0,0,1,7,3,0
10343,45,28,Aylik,100,1,366.0,2,0,7,0,0
10344,35,51,Yillik,200,0,561.0,1,0,10,1,0
10345,36,22,Aylik,100,0,378.0,0,0,6,5,1
10346,45,50,Iki Yillik,25,3,302.0,2,2,5,9,0
10347,23,50,Aylik,16,0,173.0,0,0,5,1,0
10348,24,33,Aylik,16,3,312.0,0,0,8,4,0
10349,33,25,Aylik,25,0,209.0,0,1,4,3,1
10350,39,28,Aylik,50,5,461.0,0,0,7,6,0
10351,46,58,Aylik,100,3,472.0,0,0,10,3,0
10352,61,41,Aylik,100,0,321.0,1,0,8,6,0
10353,53,9,Yillik,50,1,284.0,0,0,7,7,0
10354,40,27,Aylik,16,1,261.0,3,0,7,6,0
10355,42,10,Iki Yillik,16,0,193.0,1,1,5,1,0
10356,29,12,Yillik,16,1,240.0,1,0,5,0,0
10357,42,15,Yillik,25,1,258.0,0,1,7,4,0
10358,38,6,Aylik,50,1,275.0,3,1,8,6,1
10359,46,10,Aylik,16,3,317.0,0,2,9,0,0
10360,31,53,Aylik,25,1,195.0,1,1,7,7,0
10361,49,12,Yillik,16,0,215.0,2,1,10,2,1
10362,62,36,Iki Yillik,50,1,183.0,1,0,10,6,0
10363,41,23,Aylik,25,1,229.0,0,1,9,2,0
10364,47,30,Aylik,50,1,320.0,1,1,9,3,0
10365,51,31,Iki Yillik,25,2,230.0,0,1,5,7,0
10366,37,9,Aylik,200,0,534.0,0,0,5,1,1
10367,45,36,Yillik,25,1,209.0,1,1,8,5,0
10368,42,7,Yillik,50,1,267.0,0,0,4,9,0
10369,43,12,Iki Yillik,50,1,313.0,0,0,6,8,0
10370,32,31,Aylik,50,2,332.0,0,0,8,9,0
10371,42,9,Aylik,100,0,259.0,4,0,10,8,0
10372,48,3,Yillik,25,0,153.0,0,1,7,4,0
10373,61,26,Iki Yillik,25,3,357.0,0,0,6,2,0
10374,54,5,Aylik,16,4,366.0,4,0,8,5,1
10375,70,33,Aylik,50,2,386.0,0,0,5,8,1
10376,32,16,Yillik,25,1,291.0,0,1,7,5,1
10377,53,26,Iki Yillik,16,1,203.0,0,1,7,3,0
10378,44,26,Iki Yillik,50,0,323.0,0,1,7,4,0
10379,70,34,Iki Yillik,50,1,281.0,1,0,7,6,0
10380,31,31,Aylik,16,3,272.0,0,1,5,9,1
10381,31,9,Aylik,50,2,303.0,1,2,6,2,1
10382,34,17,Yillik,50,1,201.0,1,1,6,8,0
10383,18,26,Iki Yillik,16,1,272.0,2,2,4,0,1
10384,35,50,Aylik,25,2,333.0,0,0,8,7,0
10385,32,31,Aylik,50,0,199.0,2,1,9,4,0
10386,44,48,Yillik,50,2,317.0,0,1,9,9,0
10387,46,27,Aylik,25,1,236.0,3,1,7,8,0
10388,66,42,Aylik,25,3,289.0,3,0,5,1,0
10389,54,25,Aylik,50,3,309.0,1,1,8,0,1
10390,35,41,Yillik,200,1,558.0,0,0,8,9,0
10391,30,16,Yillik,50,3,359.0,1,0,7,6,0
10392,48,54,Aylik,16,2,247.0,2,2,10,9,0
10393,25,29,Yillik,25,3,330.0,2,0,7,8,0
10394,66,6,Yillik,100,2,470.0,1,0,7,4,0
10395,57,27,Yillik,16,3,295.0,1,1,6,3,0
10396,36,31,Yillik,200,1,571.0,1,0,4,3,0
10397,20,37,Aylik,200,0,545.0,2,0,8,7,0
10398,60,66,Aylik,16,3,325.0,1,1,7,0,0
10399,41,14,Aylik,200,1,543.0,1,1,8,0,1
10400,58,66,Aylik,25,3,326.0,1,1,10,7,0
10401,21,21,Aylik,100,0,349.0,0,0,6,1,0
10402,34,11,Iki Yillik,25,0,150.0,2,0,3,9,0
10403,42,14,Yillik,25,1,277.0,0,0,8,5,0
10404,43,30,Yillik,50,2,375.0,0,1,7,1,0
10405,36,10,Aylik,100,1,350.0,4,1,6,4,0
10406,50,16,Aylik,16,0,177.0,1,0,8,2,0
10407,28,26,Aylik,50,2,347.0,0,1,8,6,1
10408,40,54,Aylik,16,0,151.0,1,2,5,8,1
10409,44,36,Aylik,25,3,339.0,1,0,6,1,0
10410,49,21,Yillik,25,0,193.0,1,1,10,6,0
10411,51,30,Iki Yillik,25,2,226.0,0,1,6,7,0
10412,27,24,Aylik,25,2,294.0,5,1,7,9,0
10413,22,8,Aylik,16,1,177.0,0,1,2,7,1
10414,59,60,Yillik,16,0,203.0,0,1,4,6,1
10415,46,54,Aylik,16,1,192.0,0,0,7,3,0
10416,32,19,Iki Yillik,50,2,319.0,1,0,9,3,0
10417,62,14,Yillik,200,3,703.0,3,0,4,9,0
10418,44,8,Iki Yillik,16,1,233.0,0,0,7,8,0
10419,57,31,Aylik,200,2,572.0,1,0,6,9,0
10420,43,32,Yillik,50,1,244.0,0,2,9,8,0
10421,69,11,Aylik,50,3,349.0,0,1,5,4,0
10422,65,25,Yillik,50,0,249.0,0,0,8,6,0
10423,39,35,Aylik,100,1,388.0,0,1,6,6,0
10424,55,14,Aylik,16,0,150.0,1,1,7,8,1
10425,50,18,Aylik,50,1,239.0,1,0,7,6,1
10426,60,18,Yillik,50,1,290.0,2,0,7,7,0
10427,29,11,Iki Yillik,50,4,409.0,1,2,8,6,0
10428,51,18,Yillik,100,2,496.0,3,1,7,3,1
10429,56,5,Yillik,16,0,172.0,1,1,7,1,0
10430,19,17,Aylik,50,0,298.0,1,0,6,2,0
10431,27,17,Yillik,50,0,194.0,0,1,7,6,0
10432,18,20,Aylik,25,1,177.0,2,0,7,8,1
10433,38,29,Iki Yillik,25,0,150.0,0,2,5,1,0
10434,51,7,Iki Yillik,50,2,367.0,5,0,6,6,0
10435,62,9,Aylik,100,0,391.0,0,0,5,3,0
10436,43,11,Iki Yillik,50,0,208.0,3,2,7,6,0
10437,63,7,Aylik,100,1,359.0,0,2,6,4,1
10438,24,31,Aylik,25,1,192.0,2,1,8,6,1
10439,20,13,Yillik,16,1,152.0,0,1,8,5,0
10440,41,20,Aylik,16,1,241.0,1,2,5,1,0
10441,47,10,Yillik,16,3,313.0,0,1,7,6,0
10442,42,16,Aylik,25,2,278.0,1,0,8,4,0
10443,18,25,Aylik,25,3,273.0,0,0,7,8,0
10444,41,26,Yillik,50,2,382.0,1,0,6,0,0
10445,25,9,Yillik,50,1,262.0,4,1,5,0,1
10446,51,19,Iki Yillik,16,1,234.0,2,1,9,1,0
10447,47,10,Yillik,25,0,150.0,1,0,9,7,0
10448,30,19,Yillik,25,3,316.0,1,0,7,8,0
10449,35,12,Aylik,50,1,290.0,1,1,8,6,0
10450,28,62,Aylik,16,0,182.0,0,0,1,0,0
