Study Hours,Sleep Hours,Attendance Rate,Social Media Hours,Exam Score
1.8,5.9,75.8,4.9,35.0
2.6,6.9,85.3,3.3,61.7
4.8,7.0,82.0,2.0,81.8
0.8,5.8,76.5,3.9,41.0
3.1,8.5,87.2,3.7,74.8
3.7,8.3,80.6,2.4,74.9
5.7,6.6,90.2,1.2,99.7
4.8,7.7,81.2,1.6,79.5
3.3,7.3,77.6,3.8,65.7
3.2,4.6,74.1,2.6,69.6
3.4,7.2,94.7,3.1,79.6
6.1,6.9,86.7,2.7,92.0
3.2,7.1,85.4,3.8,65.8
3.3,6.0,84.1,2.9,75.9
4.3,6.8,86.7,3.4,71.0
3.6,6.8,85.0,2.4,73.2
3.5,8.1,95.1,2.9,81.2
2.1,7.3,76.8,2.6,61.2
3.8,7.0,76.4,4.1,60.5
3.1,8.4,78.4,3.2,66.4
5.5,6.5,80.3,2.0,84.0
4.8,6.6,90.6,2.6,84.8
3.8,5.4,89.5,2.9,72.2
4.8,8.4,81.2,3.4,72.4
3.3,7.9,76.6,1.9,70.0
5.4,7.8,85.4,1.8,94.3
3.8,7.6,92.6,2.8,74.7
4.7,7.1,70.8,5.0,60.2
1.9,7.2,85.0,4.4,56.4
4.3,6.8,79.9,2.9,68.3
1.3,6.8,86.9,4.3,50.9
0.7,7.0,74.5,5.6,30.0
3.3,8.4,82.7,3.0,75.3
2.5,7.5,74.7,3.1,67.7
4.0,6.9,80.0,4.1,75.8
7.2,6.5,97.7,2.7,100.0
2.6,6.4,87.6,4.0,63.8
2.9,8.4,81.4,2.9,67.1
4.1,7.5,80.7,4.7,66.1
4.5,7.1,75.7,4.4,73.3
3.5,6.7,82.4,3.6,59.8
3.5,6.0,84.4,3.8,70.0
4.9,6.9,86.1,1.1,88.5
4.6,7.8,85.7,3.4,84.3
2.2,6.6,76.5,3.3,55.4
3.7,6.8,84.5,3.5,65.9
3.9,6.8,84.9,3.7,71.0
2.2,7.1,89.7,3.2,67.1
4.2,5.6,95.9,1.6,86.1
2.5,6.8,82.3,3.7,60.7
5.3,6.2,83.0,2.1,81.8
4.1,7.8,85.1,2.7,67.2
3.9,6.3,81.9,2.6,76.5
2.9,7.5,79.6,3.0,67.0
3.6,8.4,84.4,1.2,81.7
0.8,6.7,74.8,4.9,37.0
2.1,6.5,85.8,3.7,61.9
4.3,7.2,85.2,3.9,70.8
0.6,7.0,81.6,5.6,33.8
5.1,6.1,85.9,2.8,80.6
1.2,7.4,77.1,2.2,58.8
4.9,8.8,81.5,2.1,78.9
2.5,6.8,81.8,2.4,69.5
5.0,6.8,83.7,2.4,79.4
4.0,6.1,86.6,3.1,67.9
1.5,7.3,81.5,2.0,65.0
5.7,5.9,80.3,2.9,80.9
6.0,6.0,88.6,1.3,89.8
3.7,8.2,77.5,3.4,65.8
3.4,6.2,81.0,3.1,69.7
3.6,8.0,83.0,2.9,77.2
2.3,8.4,71.4,3.4,52.4
5.4,7.2,88.0,2.2,91.5
3.0,7.5,84.6,2.8,71.7
3.7,8.8,84.0,1.7,76.9
2.6,6.8,80.9,3.4,61.5
2.9,6.5,81.5,4.9,54.7
1.9,5.8,76.8,5.3,39.9
5.7,7.0,86.3,3.8,81.2
3.6,8.3,81.6,3.8,68.1
5.2,7.9,87.7,2.2,89.5
3.8,6.2,78.4,4.3,59.0
2.8,6.2,84.7,3.3,60.6
3.3,6.5,85.1,3.2,72.9
3.0,7.3,83.0,3.1,66.6
3.8,6.8,82.6,3.2,74.2
3.2,7.2,87.2,2.9,76.4
3.4,7.3,75.2,3.1,65.9
1.7,6.7,84.4,2.7,69.1
2.6,7.0,84.5,3.1,59.6
6.3,7.2,90.3,4.4,91.2
2.8,6.9,85.6,3.3,63.1
2.2,7.5,79.0,3.3,65.8
4.3,8.7,84.3,3.4,84.4
5.9,7.5,91.7,3.2,82.6
1.6,7.1,84.1,2.7,53.7
3.5,5.5,85.7,3.0,71.4
2.9,7.3,75.2,4.1,59.3
1.2,5.2,84.0,4.0,49.8
4.9,5.7,93.1,2.9,83.3
3.8,7.8,90.5,4.4,72.9
3.9,7.6,86.4,2.5,80.4
2.7,6.9,74.7,3.5,55.8
4.5,5.5,91.2,2.5,85.7
3.0,6.7,83.0,4.6,48.0
3.6,6.4,70.7,1.5,70.7
2.1,7.6,84.6,2.9,57.1
2.0,9.0,74.1,3.1,60.3
5.8,7.2,80.9,3.2,82.6
3.0,6.3,80.4,3.8,55.7
4.2,5.9,92.7,4.2,75.4
3.7,6.9,82.9,1.8,71.9
3.1,6.8,85.5,3.9,59.9
3.0,6.0,93.5,3.0,63.5
4.7,7.1,95.2,2.3,88.6
3.3,6.0,83.8,3.7,66.4
3.6,8.0,83.3,2.4,79.0
3.8,8.0,78.1,1.3,76.6
5.6,8.0,83.8,2.3,93.4
4.8,6.6,88.9,1.6,87.7
4.4,7.5,88.0,2.4,81.4
3.0,6.9,84.3,3.6,66.0
1.7,6.7,87.4,3.9,60.1
5.2,6.7,82.9,4.1,74.5
5.2,5.8,86.9,2.6,82.8
3.6,5.7,88.7,1.8,75.5
4.6,7.7,89.4,2.3,85.8
5.0,6.8,92.6,2.0,85.3
5.0,7.2,89.1,1.8,94.2
5.2,7.9,85.4,3.1,81.6
3.1,5.4,86.0,2.7,69.2
6.1,6.3,82.9,0.9,91.5
