uye_no,yas,haftalik_ziyaret,uyelik_suresi_ay,aylik_ucret_tl,grup_dersi,yeniledi
1170,38.0,5,7,1200,Hayır,Evet
1171,43.0,2,13,1200,Hayır,Evet
1172,59.0,2,18,900,Hayır,Evet
1173,49.0,4,8,1500,Hayır,Evet
1174,31.0,4,1,1800,Hayır,Evet
1175,36.0,4,5,1200,Hayır,Evet
1176,35.0,1,5,1500,Hayır,Hayır
1177,24.0,2,6,900,Evet,Evet
1178,18.0,2,16,1800,Hayır,Evet
1179,52.0,3,11,900,Evet,Evet
1180,36.0,0,4,1200,Evet,Hayır
1181,,5,19,1500,Hayır,Evet
1182,45.0,3,21,900,Evet,Evet
1183,42.0,3,22,1200,Hayır,Evet
1184,58.0,1,23,1500,Hayır,Hayır
1185,44.0,3,36,1200,Evet,Evet
1186,57.0,5,13,1800,Hayır,Evet
1187,,0,11,1200,Evet,Hayır
1188,32.0,3,8,1200,Evet,Evet
1189,31.0,4,20,1800,Evet,Evet
1190,60.0,2,11,1800,Evet,Evet
1191,43.0,4,7,2400,Evet,Evet
1192,26.0,2,6,900,Hayır,Hayır
1193,53.0,4,14,1500,Evet,Evet
1194,53.0,3,7,900,Hayır,Hayır
1195,18.0,3,27,1200,Evet,Evet
1196,24.0,6,18,1500,Hayır,Evet
1197,47.0,4,17,1800,Evet,Evet
1198,35.0,5,9,900,Hayır,Evet
1199,32.0,1,12,1200,Evet,Hayır
1200,21.0,2,10,900,Hayır,Hayır
1201,26.0,4,16,1200,Evet,Evet
1201,26.0,4,16,1200,Evet,Evet
1202,54.0,4,3,1200,Hayır,Evet
1203,53.0,3,27,2400,Hayır,Evet
1204,53.0,4,14,1500,Hayır,Evet
1205,42.0,1,9,1500,Evet,Hayır
1206,24.0,3,2,900,Evet,Evet
1207,31.0,1,2,1500,Hayır,Hayır
1208,40.0,3,20,1200,Hayır,Evet
1209,60.0,2,12,1500,Evet,Evet
1210,29.0,2,12,1200,Evet,Evet
1211,41.0,3,8,1200,Evet,Evet
1212,39.0,5,3,1500,Evet,Evet
1213,39.0,1,6,1200,Evet,Hayır
1214,41.0,2,8,1500,Hayır,Hayır
1215,48.0,4,9,1800,Hayır,Evet
1216,22.0,2,14,900,Hayır,Evet
1217,60.0,5,32,900,Hayır,Evet
1218,55.0,3,6,1200,Evet,Evet
1219,51.0,3,20,900,Evet,Evet
1220,29.0,3,18,900,Evet,Evet
1221,36.0,5,28,1800,Evet,Evet
1222,37.0,4,21,900,Evet,Evet
1223,31.0,3,2,1200,Hayır,Hayır
1224,20.0,3,13,1200,Hayır,Evet
1225,49.0,0,22,1200,Hayır,Evet
1226,18.0,1,7,900,Hayır,Hayır
1227,50.0,5,10,1200,Evet,Evet
1228,26.0,4,21,1500,Evet,Evet
1229,,3,7,900,Hayır,Hayır
1230,32.0,4,3,1200,Hayır,Evet
1231,28.0,2,24,1500,Evet,Evet
1232,57.0,3,12,1200,Hayır,Evet
1233,38.0,1,6,900,Evet,Hayır
1234,56.0,3,19,900,Hayır,Evet
1235,26.0,2,10,2400,Evet,Evet
1236,38.0,2,3,900,Hayır,Hayır
1237,32.0,3,7,900,Hayır,Hayır
1238,37.0,2,6,1800,Evet,Evet
1239,18.0,4,11,900,Hayır,Evet
1240,46.0,3,11,900,Hayır,Hayır
1241,32.0,3,8,1800,Hayır,Hayır
1242,54.0,5,9,2400,Evet,Evet
1243,27.0,0,4,2400,Hayır,Hayır
1244,32.0,0,15,1500,Hayır,Hayır
1245,19.0,4,8,1500,Hayır,Evet
1246,52.0,4,8,1500,Evet,Evet
1247,40.0,6,6,1800,Evet,Evet
1248,35.0,4,21,1200,Evet,Evet
1249,57.0,4,7,1500,Hayır,Evet
1250,43.0,1,11,1500,Evet,Hayır
1251,59.0,4,9,900,Evet,Evet
1252,49.0,4,5,1800,Hayır,Evet
1253,43.0,1,14,1500,Evet,Hayır
1254,39.0,1,10,900,Evet,Hayır
1255,26.0,2,9,1800,Hayır,Evet
1256,47.0,3,3,1200,Hayır,Hayır
1257,52.0,0,15,1200,Evet,Hayır
1258,47.0,3,6,1500,Hayır,Hayır
1259,35.0,3,5,1200,Hayır,Hayır
1260,18.0,2,9,1200,Evet,Evet
1261,49.0,3,9,1800,Hayır,Hayır
1262,19.0,3,7,1800,Evet,Evet
1263,52.0,1,8,1200,Evet,Hayır
1264,24.0,3,11,1500,Evet,Evet
1265,31.0,2,3,1200,Hayır,Hayır
1266,27.0,1,12,1800,Evet,Hayır
1267,41.0,3,1,900,Hayır,Hayır
1268,26.0,5,5,1500,Evet,Evet
1269,29.0,0,12,1800,Hayır,Hayır
1270,20.0,0,22,2400,Hayır,Hayır
1271,60.0,0,3,900,Hayır,Hayır
1272,27.0,6,21,900,Evet,Evet
1273,26.0,2,3,1800,Hayır,Hayır
1274,43.0,3,21,900,Hayır,Evet
1275,24.0,1,2,1200,Hayır,Hayır
1276,56.0,1,9,1200,Evet,Evet
1277,51.0,0,13,1500,Evet,Hayır
1278,33.0,3,30,1800,Evet,Evet
1279,35.0,3,12,1200,Hayır,Evet
1280,33.0,0,21,1200,Hayır,Hayır
1281,49.0,1,13,2400,Hayır,Hayır
1282,35.0,1,3,1200,Hayır,Hayır
1283,30.0,3,15,900,Evet,Evet
1284,47.0,3,12,1500,Evet,Evet
1285,23.0,4,11,1200,Evet,Evet
1286,51.0,5,7,900,Hayır,Evet
1287,36.0,4,5,1200,Evet,Evet
1288,58.0,5,9,1200,Evet,Evet
1289,29.0,1,11,1800,Hayır,Hayır
1290,34.0,2,27,1500,Hayır,Evet
1291,55.0,4,5,2400,Evet,Evet
1292,48.0,3,16,1800,Hayır,Evet
1293,19.0,3,20,2400,Evet,Evet
1294,32.0,0,7,1500,Hayır,Hayır
1295,18.0,0,2,900,Evet,Hayır
1296,53.0,4,18,1200,Evet,Evet
1297,35.0,3,7,1200,Hayır,Hayır
1298,27.0,2,15,2400,Evet,Evet
1299,49.0,2,10,1800,Hayır,Hayır
1300,55.0,0,19,1500,Hayır,Hayır
1301,22.0,3,10,1800,Hayır,Hayır
1302,39.0,4,3,900,Hayır,Evet
1303,33.0,5,7,1200,Hayır,Evet
1304,49.0,3,12,1200,Hayır,Evet
1305,57.0,2,44,1200,Evet,Evet
1306,41.0,1,13,900,Evet,Hayır
1307,50.0,4,21,1200,Hayır,Evet
1308,31.0,5,11,1800,Evet,Evet
1309,42.0,2,6,1500,Hayır,Hayır
1310,39.0,3,7,1800,Evet,Evet
1311,49.0,3,2,1200,Evet,Evet
1312,20.0,2,7,900,Hayır,Hayır
1313,28.0,0,25,1200,Evet,Hayır
1314,19.0,2,6,2400,Evet,Evet
1315,60.0,4,11,1200,Hayır,Hayır
1316,40.0,0,10,1200,Hayır,Hayır
1317,39.0,1,5,1500,Evet,Hayır
1318,38.0,0,3,1200,Hayır,Hayır
1319,19.0,5,6,900,Hayır,Evet
1320,53.0,3,7,1200,Evet,Evet
1321,54.0,3,14,1800,Evet,Evet
1322,18.0,2,12,1500,Hayır,Evet
1323,44.0,2,2,1200,Evet,Evet
1324,41.0,2,12,900,Hayır,Evet
1325,34.0,2,7,1800,Evet,Evet
1326,39.0,2,35,1500,Evet,Evet
1327,55.0,3,7,900,Evet,Evet
1328,43.0,3,12,900,Evet,Evet
1329,39.0,5,21,900,Evet,Evet
1330,49.0,0,12,900,Evet,Evet
1331,47.0,3,19,1200,Hayır,Evet
1332,40.0,2,3,1200,Evet,Evet
1333,53.0,1,8,1800,Evet,Hayır
1334,42.0,0,7,1500,Evet,Hayır
1335,44.0,4,16,1500,Hayır,Evet
1336,39.0,1,10,1200,Hayır,Hayır
1337,43.0,1,4,1200,Evet,Hayır
1338,44.0,3,2,1800,Hayır,Hayır
1339,56.0,1,18,2400,Hayır,Hayır
1340,,3,23,900,Hayır,Evet
1341,33.0,2,28,1500,Evet,Evet
1342,41.0,4,19,900,Evet,Evet
1343,32.0,4,13,1500,Hayır,Evet
1344,46.0,1,11,1500,Evet,Hayır
1345,53.0,4,8,900,Hayır,Hayır
1346,26.0,2,13,1500,Hayır,Evet
1347,20.0,3,10,1200,Hayır,Hayır
1348,60.0,2,16,1800,Evet,Hayır
1349,39.0,4,7,1800,Hayır,Evet
1350,50.0,1,11,1200,Evet,Hayır
1351,50.0,3,17,900,Evet,Evet
1352,59.0,4,14,1500,Hayır,Hayır
1353,19.0,2,6,1800,Hayır,Hayır
1354,30.0,6,15,1200,Evet,Evet
1355,60.0,1,5,1500,Evet,Hayır
1356,37.0,3,3,1500,Evet,Evet
1357,35.0,2,3,1200,Hayır,Hayır
1358,29.0,2,7,900,Evet,Evet
1359,18.0,1,14,1200,Hayır,Hayır
1360,20.0,2,2,1200,Hayır,Hayır
1361,,3,4,1500,Hayır,Hayır
1362,18.0,1,7,1500,Hayır,Hayır
1363,24.0,4,21,1500,Evet,Evet
1364,28.0,5,16,2400,Hayır,Evet
1365,30.0,0,8,1800,Hayır,Hayır
1366,55.0,4,5,1800,Evet,Evet
1367,31.0,3,19,1200,Evet,Evet
1368,25.0,3,23,1500,Hayır,Evet
1369,34.0,6,7,1200,Hayır,Evet
1370,47.0,4,1,1200,Evet,Evet
1371,37.0,3,6,900,Evet,Evet
1372,28.0,3,26,1200,Hayır,Evet
1373,23.0,0,18,1200,Hayır,Hayır
1374,20.0,4,17,900,Hayır,Evet
1375,39.0,1,22,2400,Hayır,Hayır
1376,26.0,3,14,1200,Hayır,Evet
1377,43.0,3,22,1500,Hayır,Evet
1378,47.0,4,11,1200,Hayır,Evet
1379,34.0,6,13,1500,Hayır,Evet
1380,39.0,4,2,2400,Evet,Evet
1381,20.0,5,37,1200,Hayır,Hayır
1382,41.0,2,1,1200,Hayır,Evet
1383,25.0,3,5,2400,Hayır,Hayır
1384,37.0,4,9,2400,Hayır,Evet
1385,22.0,0,7,1500,Hayır,Hayır
1386,29.0,6,11,900,Hayır,Evet
1387,35.0,2,8,900,Hayır,Hayır
1388,38.0,1,9,900,Evet,Hayır
1389,19.0,5,1,1500,Hayır,Evet
1390,57.0,6,8,1200,Hayır,Evet
1391,36.0,2,43,1500,Evet,Hayır
1392,26.0,2,2,1500,Hayır,Hayır
1393,26.0,7,20,1500,Hayır,Hayır
1394,49.0,3,4,1200,Hayır,Hayır
1395,36.0,0,32,900,Hayır,Hayır
1396,28.0,2,2,1200,Evet,Evet
1397,37.0,6,16,1800,Hayır,Evet
1398,26.0,4,11,1500,Evet,Evet
1399,24.0,4,9,900,Hayır,Hayır
1400,31.0,4,3,1200,Hayır,Evet
1401,59.0,4,9,1200,Hayır,Evet
1402,21.0,2,11,1200,Hayır,Hayır
1403,41.0,0,6,900,Evet,Hayır
1404,58.0,3,19,2400,Evet,Hayır
1405,37.0,1,9,1800,Hayır,Hayır
1406,33.0,3,9,900,Evet,Evet
1407,41.0,5,17,1500,Hayır,Evet
1408,25.0,3,6,900,Hayır,Hayır
1409,47.0,3,9,900,Evet,Evet
1410,18.0,3,6,1200,Hayır,Hayır
1411,42.0,4,4,1800,Hayır,Evet
1412,20.0,4,8,900,Hayır,Hayır
1413,18.0,1,8,2400,Hayır,Hayır
1414,27.0,3,2,900,Hayır,Hayır
1415,48.0,5,9,900,Evet,Evet
1416,35.0,4,2,1800,Evet,Evet
1416,35.0,4,2,1800,Evet,Evet
1417,36.0,1,3,900,Evet,Hayır
1418,43.0,2,14,1200,Hayır,Evet
1419,20.0,0,5,2400,Hayır,Hayır
1420,60.0,1,10,900,Hayır,Hayır
1421,38.0,5,1,900,Evet,Evet
1422,56.0,2,17,1200,Hayır,Evet
1423,50.0,1,14,1200,Hayır,Hayır
1424,28.0,2,13,1200,Evet,Evet
1425,31.0,2,12,1200,Hayır,Evet
1426,44.0,2,5,1200,Evet,Evet
1427,54.0,2,11,900,Hayır,Hayır
1428,57.0,1,9,1200,Evet,Hayır
1429,38.0,4,7,1500,Hayır,Evet
1430,22.0,5,27,1800,Hayır,Evet
1431,60.0,2,2,900,Evet,Evet
1432,54.0,2,5,1200,Hayır,Hayır
1433,48.0,4,16,1500,Hayır,Evet
1434,35.0,0,18,2400,Hayır,Hayır
1435,23.0,2,19,900,Hayır,Evet
1436,51.0,2,9,1500,Hayır,Hayır
1437,26.0,3,28,1200,Hayır,Evet
1438,31.0,2,6,1200,Hayır,Hayır
1439,,1,15,900,Evet,Hayır
1440,44.0,3,11,1200,Evet,Evet
1441,30.0,1,17,1200,Hayır,Hayır
1442,39.0,0,12,1200,Evet,Hayır
1443,44.0,0,14,1200,Hayır,Hayır
1444,22.0,4,21,1800,Hayır,Evet
1445,29.0,0,12,1800,Hayır,Hayır
1446,50.0,3,42,2400,Hayır,Evet
1447,44.0,4,24,1200,Evet,Evet
1448,53.0,4,16,1500,Hayır,Evet
1449,49.0,2,6,1500,Hayır,Hayır
1450,38.0,2,16,900,Hayır,Evet
1451,30.0,3,13,900,Hayır,Evet
1452,34.0,2,16,1200,Hayır,Evet
1453,26.0,1,33,1200,Evet,Hayır
1454,58.0,4,5,900,Evet,Evet
1455,19.0,1,11,1200,Evet,Hayır
1456,34.0,5,4,900,Evet,Evet
1457,20.0,3,13,900,Hayır,Evet
1458,55.0,2,3,1500,Evet,Evet
1459,46.0,3,9,1500,Hayır,Hayır
1460,35.0,4,22,1800,Evet,Evet
1461,52.0,1,15,1800,Hayır,Hayır
1462,34.0,1,16,1500,Hayır,Hayır
1463,37.0,1,16,1500,Hayır,Hayır
1464,33.0,3,15,900,Evet,Evet
1465,50.0,3,4,1500,Hayır,Hayır
1466,20.0,3,11,900,Hayır,Hayır
1467,41.0,2,3,1500,Hayır,Hayır
1468,29.0,2,23,2400,Hayır,Evet
1469,59.0,4,10,1800,Hayır,Evet
1470,27.0,4,10,2400,Evet,Evet
1471,35.0,3,6,1200,Evet,Evet
1472,20.0,1,9,1200,Hayır,Hayır
1473,,4,8,1200,Hayır,Evet
1474,41.0,3,5,1500,Hayır,Hayır
1475,50.0,3,23,2400,Hayır,Evet
1476,37.0,5,12,900,Evet,Evet
1477,28.0,4,15,1200,Evet,Evet
1478,19.0,1,21,1200,Hayır,Hayır
1479,57.0,1,6,1500,Hayır,Hayır
1480,24.0,5,3,900,Evet,Evet
1481,51.0,3,21,1200,Hayır,Evet
1482,57.0,4,8,2400,Evet,Evet
1483,31.0,2,17,900,Hayır,Evet
1484,23.0,1,6,900,Hayır,Hayır
1485,47.0,3,5,1200,Hayır,Hayır
1486,34.0,5,22,1500,Hayır,Evet
1487,19.0,3,15,2400,Evet,Evet
1488,58.0,1,21,1800,Hayır,Hayır
1489,57.0,2,14,1200,Hayır,Evet
1490,22.0,2,6,1500,Hayır,Hayır
1491,49.0,3,15,900,Hayır,Evet
1492,35.0,4,5,2400,Hayır,Evet
1493,20.0,6,4,2400,Evet,Evet
1494,52.0,3,36,1200,Hayır,Evet
1495,54.0,2,19,1800,Hayır,Evet
1496,18.0,3,11,900,Hayır,Hayır
1497,22.0,3,9,900,Hayır,Hayır
1498,20.0,2,38,1500,Hayır,Evet
1499,59.0,3,24,2400,Hayır,Evet
1500,57.0,3,17,1500,Hayır,Evet
